board,architecture,quant_mode,case,model,setup,group,flash_bytes,ram_bytes,flash_pct,ram_pct
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,backbone,238654,0,65.82,0.0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,head,868,0,0.24,0.0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,frontend,8766,9240,2.42,13.99
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,dsp_library,14650,0,4.04,0.0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,platform,89163,1545,24.59,2.34
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,instrumentation,392,0,0.11,0.0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,unclassified,12963,55279,3.57,83.67
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_knn16_fp32,backbone,238654,0,65.12,0.0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_knn16_fp32,head,4748,0,1.3,0.0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_knn16_fp32,frontend,8766,9240,2.39,13.99
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_knn16_fp32,dsp_library,14650,0,4.0,0.0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_knn16_fp32,platform,89163,1545,24.33,2.34
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_knn16_fp32,instrumentation,392,0,0.11,0.0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_knn16_fp32,unclassified,12963,55279,3.54,83.67
arduino-nano-rp2040-connect,selective,true_int8,case1,086acf0275b8,true_int8_h16_euclidean_fp32,backbone,71684,0,36.87,0.0
arduino-nano-rp2040-connect,selective,true_int8,case1,086acf0275b8,true_int8_h16_euclidean_fp32,head,868,0,0.45,0.0
arduino-nano-rp2040-connect,selective,true_int8,case1,086acf0275b8,true_int8_h16_euclidean_fp32,frontend,8766,9240,4.51,15.49
arduino-nano-rp2040-connect,selective,true_int8,case1,086acf0275b8,true_int8_h16_euclidean_fp32,dsp_library,14650,0,7.54,0.0
arduino-nano-rp2040-connect,selective,true_int8,case1,086acf0275b8,true_int8_h16_euclidean_fp32,platform,87921,1545,45.23,2.59
arduino-nano-rp2040-connect,selective,true_int8,case1,086acf0275b8,true_int8_h16_euclidean_fp32,instrumentation,392,0,0.2,0.0
arduino-nano-rp2040-connect,selective,true_int8,case1,086acf0275b8,true_int8_h16_euclidean_fp32,unclassified,12963,48879,6.67,81.92
arduino-nano-rp2040-connect,selective,true_int8,case1,086acf0275b8,true_int8_h16_euclidean_int8,backbone,71684,0,36.89,0.0
arduino-nano-rp2040-connect,selective,true_int8,case1,086acf0275b8,true_int8_h16_euclidean_int8,head,760,0,0.39,0.0
arduino-nano-rp2040-connect,selective,true_int8,case1,086acf0275b8,true_int8_h16_euclidean_int8,frontend,8766,9240,4.51,15.48
arduino-nano-rp2040-connect,selective,true_int8,case1,086acf0275b8,true_int8_h16_euclidean_int8,dsp_library,14650,0,7.54,0.0
arduino-nano-rp2040-connect,selective,true_int8,case1,086acf0275b8,true_int8_h16_euclidean_int8,platform,87921,1545,45.25,2.59
arduino-nano-rp2040-connect,selective,true_int8,case1,086acf0275b8,true_int8_h16_euclidean_int8,instrumentation,392,0,0.2,0.0
arduino-nano-rp2040-connect,selective,true_int8,case1,086acf0275b8,true_int8_h16_euclidean_int8,unclassified,12963,48887,6.67,81.93
arduino-nano-rp2040-connect,selective,true_int8,case1,086acf0275b8,true_int8_h16_knn16_fp32,backbone,71684,0,36.15,0.0
arduino-nano-rp2040-connect,selective,true_int8,case1,086acf0275b8,true_int8_h16_knn16_fp32,head,4748,0,2.39,0.0
arduino-nano-rp2040-connect,selective,true_int8,case1,086acf0275b8,true_int8_h16_knn16_fp32,frontend,8766,9240,4.42,15.49
arduino-nano-rp2040-connect,selective,true_int8,case1,086acf0275b8,true_int8_h16_knn16_fp32,dsp_library,14650,0,7.39,0.0
arduino-nano-rp2040-connect,selective,true_int8,case1,086acf0275b8,true_int8_h16_knn16_fp32,platform,87921,1545,44.34,2.59
arduino-nano-rp2040-connect,selective,true_int8,case1,086acf0275b8,true_int8_h16_knn16_fp32,instrumentation,392,0,0.2,0.0
arduino-nano-rp2040-connect,selective,true_int8,case1,086acf0275b8,true_int8_h16_knn16_fp32,unclassified,12963,48879,6.54,81.92
arduino-nano-rp2040-connect,selective,true_int8,case1,086acf0275b8,true_int8_h16_knn16_int8,backbone,71684,0,36.71,0.0
arduino-nano-rp2040-connect,selective,true_int8,case1,086acf0275b8,true_int8_h16_knn16_int8,head,1748,0,0.9,0.0
arduino-nano-rp2040-connect,selective,true_int8,case1,086acf0275b8,true_int8_h16_knn16_int8,frontend,8766,9240,4.49,15.48
arduino-nano-rp2040-connect,selective,true_int8,case1,086acf0275b8,true_int8_h16_knn16_int8,dsp_library,14650,0,7.5,0.0
arduino-nano-rp2040-connect,selective,true_int8,case1,086acf0275b8,true_int8_h16_knn16_int8,platform,87921,1545,45.02,2.59
arduino-nano-rp2040-connect,selective,true_int8,case1,086acf0275b8,true_int8_h16_knn16_int8,instrumentation,392,0,0.2,0.0
arduino-nano-rp2040-connect,selective,true_int8,case1,086acf0275b8,true_int8_h16_knn16_int8,unclassified,12963,48887,6.64,81.93
arduino-nano-rp2040-connect,selective,true_int8,case1,086acf0275b8,true_int8_h8_euclidean_fp32,backbone,71676,0,36.87,0.0
arduino-nano-rp2040-connect,selective,true_int8,case1,086acf0275b8,true_int8_h8_euclidean_fp32,head,868,0,0.45,0.0
arduino-nano-rp2040-connect,selective,true_int8,case1,086acf0275b8,true_int8_h8_euclidean_fp32,frontend,8766,9240,4.51,16.04
arduino-nano-rp2040-connect,selective,true_int8,case1,086acf0275b8,true_int8_h8_euclidean_fp32,dsp_library,14650,0,7.54,0.0
arduino-nano-rp2040-connect,selective,true_int8,case1,086acf0275b8,true_int8_h8_euclidean_fp32,platform,87921,1545,45.23,2.68
arduino-nano-rp2040-connect,selective,true_int8,case1,086acf0275b8,true_int8_h8_euclidean_fp32,instrumentation,392,0,0.2,0.0
arduino-nano-rp2040-connect,selective,true_int8,case1,086acf0275b8,true_int8_h8_euclidean_fp32,unclassified,12963,46831,6.67,81.28
arduino-nano-rp2040-connect,selective,true_int8,case1,086acf0275b8,true_int8_h8_euclidean_int8,backbone,71676,0,36.89,0.0
arduino-nano-rp2040-connect,selective,true_int8,case1,086acf0275b8,true_int8_h8_euclidean_int8,head,760,0,0.39,0.0
arduino-nano-rp2040-connect,selective,true_int8,case1,086acf0275b8,true_int8_h8_euclidean_int8,frontend,8766,9240,4.51,16.03
arduino-nano-rp2040-connect,selective,true_int8,case1,086acf0275b8,true_int8_h8_euclidean_int8,dsp_library,14650,0,7.54,0.0
arduino-nano-rp2040-connect,selective,true_int8,case1,086acf0275b8,true_int8_h8_euclidean_int8,platform,87921,1545,45.25,2.68
arduino-nano-rp2040-connect,selective,true_int8,case1,086acf0275b8,true_int8_h8_euclidean_int8,instrumentation,392,0,0.2,0.0
arduino-nano-rp2040-connect,selective,true_int8,case1,086acf0275b8,true_int8_h8_euclidean_int8,unclassified,12963,46839,6.67,81.28
arduino-nano-rp2040-connect,selective,true_int8,case1,086acf0275b8,true_int8_h8_knn16_fp32,backbone,71676,0,36.15,0.0
arduino-nano-rp2040-connect,selective,true_int8,case1,086acf0275b8,true_int8_h8_knn16_fp32,head,4748,0,2.39,0.0
arduino-nano-rp2040-connect,selective,true_int8,case1,086acf0275b8,true_int8_h8_knn16_fp32,frontend,8766,9240,4.42,16.04
arduino-nano-rp2040-connect,selective,true_int8,case1,086acf0275b8,true_int8_h8_knn16_fp32,dsp_library,14650,0,7.39,0.0
arduino-nano-rp2040-connect,selective,true_int8,case1,086acf0275b8,true_int8_h8_knn16_fp32,platform,87921,1545,44.34,2.68
arduino-nano-rp2040-connect,selective,true_int8,case1,086acf0275b8,true_int8_h8_knn16_fp32,instrumentation,392,0,0.2,0.0
arduino-nano-rp2040-connect,selective,true_int8,case1,086acf0275b8,true_int8_h8_knn16_fp32,unclassified,12963,46831,6.54,81.28
arduino-nano-rp2040-connect,selective,true_int8,case1,086acf0275b8,true_int8_h8_knn16_int8,backbone,71676,0,36.71,0.0
arduino-nano-rp2040-connect,selective,true_int8,case1,086acf0275b8,true_int8_h8_knn16_int8,head,1748,0,0.9,0.0
arduino-nano-rp2040-connect,selective,true_int8,case1,086acf0275b8,true_int8_h8_knn16_int8,frontend,8766,9240,4.49,16.03
arduino-nano-rp2040-connect,selective,true_int8,case1,086acf0275b8,true_int8_h8_knn16_int8,dsp_library,14650,0,7.5,0.0
arduino-nano-rp2040-connect,selective,true_int8,case1,086acf0275b8,true_int8_h8_knn16_int8,platform,87921,1545,45.02,2.68
arduino-nano-rp2040-connect,selective,true_int8,case1,086acf0275b8,true_int8_h8_knn16_int8,instrumentation,392,0,0.2,0.0
arduino-nano-rp2040-connect,selective,true_int8,case1,086acf0275b8,true_int8_h8_knn16_int8,unclassified,12963,46839,6.64,81.28
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,w_all_perchannel_euclidean_fp32,backbone,66790,0,35.01,0.0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,w_all_perchannel_euclidean_fp32,head,868,0,0.46,0.0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,w_all_perchannel_euclidean_fp32,frontend,8766,9240,4.6,13.99
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,w_all_perchannel_euclidean_fp32,dsp_library,14650,0,7.68,0.0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,w_all_perchannel_euclidean_fp32,platform,89163,1545,46.74,2.34
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,w_all_perchannel_euclidean_fp32,instrumentation,392,0,0.21,0.0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,w_all_perchannel_euclidean_fp32,unclassified,12963,55279,6.8,83.67
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,w_all_perchannel_knn16_fp32,backbone,66790,0,34.32,0.0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,w_all_perchannel_knn16_fp32,head,4748,0,2.44,0.0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,w_all_perchannel_knn16_fp32,frontend,8766,9240,4.5,13.99
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,w_all_perchannel_knn16_fp32,dsp_library,14650,0,7.53,0.0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,w_all_perchannel_knn16_fp32,platform,89163,1545,45.81,2.34
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,w_all_perchannel_knn16_fp32,instrumentation,392,0,0.2,0.0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,w_all_perchannel_knn16_fp32,unclassified,12963,55279,6.66,83.67
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,w_all_pertensor_actboundaries_euclidean_fp32,backbone,61206,0,33.03,0.0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,w_all_pertensor_actboundaries_euclidean_fp32,head,868,0,0.47,0.0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,w_all_pertensor_actboundaries_euclidean_fp32,frontend,8766,9240,4.73,13.99
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,w_all_pertensor_actboundaries_euclidean_fp32,dsp_library,14650,0,7.91,0.0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,w_all_pertensor_actboundaries_euclidean_fp32,platform,89291,1545,48.19,2.34
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,w_all_pertensor_actboundaries_euclidean_fp32,instrumentation,392,0,0.21,0.0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,w_all_pertensor_actboundaries_euclidean_fp32,unclassified,12963,55279,7.0,83.67
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,w_all_pertensor_actboundaries_knn16_fp32,backbone,61206,0,32.35,0.0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,w_all_pertensor_actboundaries_knn16_fp32,head,4748,0,2.51,0.0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,w_all_pertensor_actboundaries_knn16_fp32,frontend,8766,9240,4.63,13.99
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,w_all_pertensor_actboundaries_knn16_fp32,dsp_library,14650,0,7.74,0.0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,w_all_pertensor_actboundaries_knn16_fp32,platform,89291,1545,47.2,2.34
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,w_all_pertensor_actboundaries_knn16_fp32,instrumentation,392,0,0.21,0.0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,w_all_pertensor_actboundaries_knn16_fp32,unclassified,12963,55279,6.85,83.67
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,w_all_pertensor_euclidean_fp32,backbone,61026,0,32.99,0.0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,w_all_pertensor_euclidean_fp32,head,868,0,0.47,0.0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,w_all_pertensor_euclidean_fp32,frontend,8766,9240,4.74,13.99
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,w_all_pertensor_euclidean_fp32,dsp_library,14650,0,7.92,0.0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,w_all_pertensor_euclidean_fp32,platform,89163,1545,48.2,2.34
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,w_all_pertensor_euclidean_fp32,instrumentation,392,0,0.21,0.0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,w_all_pertensor_euclidean_fp32,unclassified,12963,55279,7.01,83.67
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,w_all_pertensor_knn16_fp32,backbone,61026,0,32.31,0.0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,w_all_pertensor_knn16_fp32,head,4748,0,2.51,0.0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,w_all_pertensor_knn16_fp32,frontend,8766,9240,4.64,13.99
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,w_all_pertensor_knn16_fp32,dsp_library,14650,0,7.76,0.0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,w_all_pertensor_knn16_fp32,platform,89163,1545,47.21,2.34
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,w_all_pertensor_knn16_fp32,instrumentation,392,0,0.21,0.0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,w_all_pertensor_knn16_fp32,unclassified,12963,55279,6.86,83.67
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,w_proj_perchannel_euclidean_fp32,backbone,74086,0,37.41,0.0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,w_proj_perchannel_euclidean_fp32,head,868,0,0.44,0.0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,w_proj_perchannel_euclidean_fp32,frontend,8766,9240,4.43,13.99
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,w_proj_perchannel_euclidean_fp32,dsp_library,14650,0,7.4,0.0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,w_proj_perchannel_euclidean_fp32,platform,89163,1545,45.02,2.34
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,w_proj_perchannel_euclidean_fp32,instrumentation,392,0,0.2,0.0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,w_proj_perchannel_euclidean_fp32,unclassified,12963,55279,6.55,83.67
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,w_proj_perchannel_knn16_fp32,backbone,74086,0,36.69,0.0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,w_proj_perchannel_knn16_fp32,head,4748,0,2.35,0.0
