board,architecture,quant_mode,case,model,setup,group,component,kind,symbol_count,flash_bytes,ram_bytes
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,platform,library_code,code,864,55924,0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,unclassified,unclassified,unknown,174,4974,55079
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,frontend,frontend_buffers,activation,4,0,9240
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,frontend,window_table,table,1,4096,0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,frontend,mel_filterbank,table,4,4374,0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,backbone,backbone_code,code,5,1258,0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,platform,libc_core,code,70,5669,1541
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,platform,libm,code,5,1120,0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,platform,libc_printf,code,35,14854,0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,backbone,A,weight,2,8192,0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,backbone,D,weight,2,1024,0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,backbone,conv,bias,2,1024,0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,backbone,conv,weight,2,4096,0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,backbone,dt_proj,bias,2,1024,0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,backbone,dt_proj,weight,2,4096,0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,backbone,in_proj,weight,2,131072,0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,backbone,layer_norm,weight,2,512,0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,backbone,out_proj,weight,2,65536,0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,backbone,x_proj,weight,2,20480,0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,backbone,final_norm,weight,2,260,0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,instrumentation,reporting_printf,code,3,216,0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,platform,libgcc,code,45,11096,0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,dsp_library,cmsis_tables,table,3,9088,0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,backbone,layer_descriptors,descriptor,1,80,0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,platform,startup,code,10,496,0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,instrumentation,audio_ingest,code,2,120,0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,frontend,frontend_code,code,3,296,0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,dsp_library,cmsis_code,code,9,5562,0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,head,score_normalization,weight,2,512,0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,head,threshold,weight,1,4,0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,head,reference_data,weight,1,256,0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,head,scoring_code,code,1,96,0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,instrumentation,harness_main,code,1,56,0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,platform,hal,code,1,4,4
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,unclassified,unattributed,residual,0,256,0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,unclassified,unattributed,residual,0,6,0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,unclassified,unattributed,residual,0,2,0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,unclassified,unattributed,residual,0,2,0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,unclassified,unattributed,residual,0,2,0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,unclassified,unattributed,residual,0,2,0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,unclassified,unattributed,residual,0,2,0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,unclassified,unattributed,residual,0,2,0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,unclassified,unattributed,residual,0,2,0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,unclassified,unattributed,residual,0,2,0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,unclassified,unattributed,residual,0,2,0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,unclassified,unattributed,residual,0,2,0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,unclassified,unattributed,residual,0,2,0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,unclassified,unattributed,residual,0,2,0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,unclassified,unattributed,residual,0,2,0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,unclassified,unattributed,residual,0,2,0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,unclassified,unattributed,residual,0,2,0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,unclassified,unattributed,residual,0,2,0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,unclassified,unattributed,residual,0,2,0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,unclassified,unattributed,residual,0,2,0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,unclassified,unattributed,residual,0,2,0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,unclassified,unattributed,residual,0,2,0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,unclassified,unattributed,residual,0,2,0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,unclassified,unattributed,residual,0,336,0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,unclassified,unattributed,residual,0,159,0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,unclassified,unattributed,residual,0,169,0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,unclassified,unattributed,residual,0,20,0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,unclassified,unattributed,residual,0,14,0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,unclassified,unattributed,residual,0,34,0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,unclassified,unattributed,residual,0,126,0
arduino-nano-rp2040-connect,selective,fake_quant,case1,086acf0275b8,full_fp32_euclidean_fp32,unclassified,unattributed,residual,0,7,0
