path,case_id,label,source,channel,sample_rate,n_samples,duration_s,n_channels,machine_type,cache_path,feature_config_hash,used_in
/mnt/d/Tudor/Master/Disertatie/ToyCar-ToyADMOS-DS/case2/NormalSound_IND/1200010940_ToyCar_case2_normal_IND_ch1_0940.wav,2,normal,IND,ch1,48000,528000,11.0,1,ToyCar,/home/y/projects/ssm-mcu-asd-ind/cache/f55a011a8ef1/1200010940_ToyCar_case2_normal_IND_ch1_0940.npy,f55a011a8ef1,training
/mnt/d/Tudor/Master/Disertatie/ToyCar-ToyADMOS-DS/case4/NormalSound_IND/1400010591_ToyCar_case4_normal_IND_ch1_0591.wav,4,normal,IND,ch1,48000,528000,11.0,1,ToyCar,/home/y/projects/ssm-mcu-asd-ind/cache/f55a011a8ef1/1400010591_ToyCar_case4_normal_IND_ch1_0591.npy,f55a011a8ef1,training
/mnt/d/Tudor/Master/Disertatie/ToyCar-ToyADMOS-DS/case2/NormalSound_IND/1200010600_ToyCar_case2_normal_IND_ch1_0600.wav,2,normal,IND,ch1,48000,528000,11.0,1,ToyCar,/home/y/projects/ssm-mcu-asd-ind/cache/f55a011a8ef1/1200010600_ToyCar_case2_normal_IND_ch1_0600.npy,f55a011a8ef1,training
/mnt/d/Tudor/Master/Disertatie/ToyCar-ToyADMOS-DS/case2/NormalSound_IND/1200010777_ToyCar_case2_normal_IND_ch1_0777.wav,2,normal,IND,ch1,48000,528000,11.0,1,ToyCar,/home/y/projects/ssm-mcu-asd-ind/cache/f55a011a8ef1/1200010777_ToyCar_case2_normal_IND_ch1_0777.npy,f55a011a8ef1,training
/mnt/d/Tudor/Master/Disertatie/ToyCar-ToyADMOS-DS/case4/NormalSound_IND/1400010627_ToyCar_case4_normal_IND_ch1_0627.wav,4,normal,IND,ch1,48000,528000,11.0,1,ToyCar,/home/y/projects/ssm-mcu-asd-ind/cache/f55a011a8ef1/1400010627_ToyCar_case4_normal_IND_ch1_0627.npy,f55a011a8ef1,training
/mnt/d/Tudor/Master/Disertatie/ToyCar-ToyADMOS-DS/case4/NormalSound_IND/1400010920_ToyCar_case4_normal_IND_ch1_0920.wav,4,normal,IND,ch1,48000,528000,11.0,1,ToyCar,/home/y/projects/ssm-mcu-asd-ind/cache/f55a011a8ef1/1400010920_ToyCar_case4_normal_IND_ch1_0920.npy,f55a011a8ef1,training
/mnt/d/Tudor/Master/Disertatie/ToyCar-ToyADMOS-DS/case4/NormalSound_IND/1400010574_ToyCar_case4_normal_IND_ch1_0574.wav,4,normal,IND,ch1,48000,528000,11.0,1,ToyCar,/home/y/projects/ssm-mcu-asd-ind/cache/f55a011a8ef1/1400010574_ToyCar_case4_normal_IND_ch1_0574.npy,f55a011a8ef1,training
/mnt/d/Tudor/Master/Disertatie/ToyCar-ToyADMOS-DS/case4/NormalSound_IND/1400010003_ToyCar_case4_normal_IND_ch1_0003.wav,4,normal,IND,ch1,48000,528000,11.0,1,ToyCar,/home/y/projects/ssm-mcu-asd-ind/cache/f55a011a8ef1/1400010003_ToyCar_case4_normal_IND_ch1_0003.npy,f55a011a8ef1,training
/mnt/d/Tudor/Master/Disertatie/ToyCar-ToyADMOS-DS/case4/NormalSound_IND/1400010668_ToyCar_case4_normal_IND_ch1_0668.wav,4,normal,IND,ch1,48000,528000,11.0,1,ToyCar,/home/y/projects/ssm-mcu-asd-ind/cache/f55a011a8ef1/1400010668_ToyCar_case4_normal_IND_ch1_0668.npy,f55a011a8ef1,training
/mnt/d/Tudor/Master/Disertatie/ToyCar-ToyADMOS-DS/case3/NormalSound_IND/1300010028_ToyCar_case3_normal_IND_ch1_0028.wav,3,normal,IND,ch1,48000,528000,11.0,1,ToyCar,/home/y/projects/ssm-mcu-asd-ind/cache/f55a011a8ef1/1300010028_ToyCar_case3_normal_IND_ch1_0028.npy,f55a011a8ef1,training
/mnt/d/Tudor/Master/Disertatie/ToyCar-ToyADMOS-DS/case2/NormalSound_IND/1200010261_ToyCar_case2_normal_IND_ch1_0261.wav,2,normal,IND,ch1,48000,528000,11.0,1,ToyCar,/home/y/projects/ssm-mcu-asd-ind/cache/f55a011a8ef1/1200010261_ToyCar_case2_normal_IND_ch1_0261.npy,f55a011a8ef1,training
/mnt/d/Tudor/Master/Disertatie/ToyCar-ToyADMOS-DS/case3/NormalSound_IND/1300010343_ToyCar_case3_normal_IND_ch1_0343.wav,3,normal,IND,ch1,48000,528000,11.0,1,ToyCar,/home/y/projects/ssm-mcu-asd-ind/cache/f55a011a8ef1/1300010343_ToyCar_case3_normal_IND_ch1_0343.npy,f55a011a8ef1,training
/mnt/d/Tudor/Master/Disertatie/ToyCar-ToyADMOS-DS/case3/NormalSound_IND/1300010948_ToyCar_case3_normal_IND_ch1_0948.wav,3,normal,IND,ch1,48000,528000,11.0,1,ToyCar,/home/y/projects/ssm-mcu-asd-ind/cache/f55a011a8ef1/1300010948_ToyCar_case3_normal_IND_ch1_0948.npy,f55a011a8ef1,training
/mnt/d/Tudor/Master/Disertatie/ToyCar-ToyADMOS-DS/case3/NormalSound_IND/1300010486_ToyCar_case3_normal_IND_ch1_0486.wav,3,normal,IND,ch1,48000,528000,11.0,1,ToyCar,/home/y/projects/ssm-mcu-asd-ind/cache/f55a011a8ef1/1300010486_ToyCar_case3_normal_IND_ch1_0486.npy,f55a011a8ef1,training
/mnt/d/Tudor/Master/Disertatie/ToyCar-ToyADMOS-DS/case4/NormalSound_IND/1400011045_ToyCar_case4_normal_IND_ch1_1045.wav,4,normal,IND,ch1,48000,528000,11.0,1,ToyCar,/home/y/projects/ssm-mcu-asd-ind/cache/f55a011a8ef1/1400011045_ToyCar_case4_normal_IND_ch1_1045.npy,f55a011a8ef1,training
/mnt/d/Tudor/Master/Disertatie/ToyCar-ToyADMOS-DS/case2/NormalSound_IND/1200011335_ToyCar_case2_normal_IND_ch1_1335.wav,2,normal,IND,ch1,48000,528000,11.0,1,ToyCar,/home/y/projects/ssm-mcu-asd-ind/cache/f55a011a8ef1/1200011335_ToyCar_case2_normal_IND_ch1_1335.npy,f55a011a8ef1,training
/mnt/d/Tudor/Master/Disertatie/ToyCar-ToyADMOS-DS/case4/NormalSound_IND/1400010067_ToyCar_case4_normal_IND_ch1_0067.wav,4,normal,IND,ch1,48000,528000,11.0,1,ToyCar,/home/y/projects/ssm-mcu-asd-ind/cache/f55a011a8ef1/1400010067_ToyCar_case4_normal_IND_ch1_0067.npy,f55a011a8ef1,training
/mnt/d/Tudor/Master/Disertatie/ToyCar-ToyADMOS-DS/case3/NormalSound_IND/1300011258_ToyCar_case3_normal_IND_ch1_1258.wav,3,normal,IND,ch1,48000,528000,11.0,1,ToyCar,/home/y/projects/ssm-mcu-asd-ind/cache/f55a011a8ef1/1300011258_ToyCar_case3_normal_IND_ch1_1258.npy,f55a011a8ef1,training
/mnt/d/Tudor/Master/Disertatie/ToyCar-ToyADMOS-DS/case2/NormalSound_IND/1200011122_ToyCar_case2_normal_IND_ch1_1122.wav,2,normal,IND,ch1,48000,528000,11.0,1,ToyCar,/home/y/projects/ssm-mcu-asd-ind/cache/f55a011a8ef1/1200011122_ToyCar_case2_normal_IND_ch1_1122.npy,f55a011a8ef1,training
/mnt/d/Tudor/Master/Disertatie/ToyCar-ToyADMOS-DS/case2/NormalSound_IND/1200011121_ToyCar_case2_normal_IND_ch1_1121.wav,2,normal,IND,ch1,48000,528000,11.0,1,ToyCar,/home/y/projects/ssm-mcu-asd-ind/cache/f55a011a8ef1/1200011121_ToyCar_case2_normal_IND_ch1_1121.npy,f55a011a8ef1,training
/mnt/d/Tudor/Master/Disertatie/ToyCar-ToyADMOS-DS/case2/NormalSound_IND/1200010373_ToyCar_case2_normal_IND_ch1_0373.wav,2,normal,IND,ch1,48000,528000,11.0,1,ToyCar,/home/y/projects/ssm-mcu-asd-ind/cache/f55a011a8ef1/1200010373_ToyCar_case2_normal_IND_ch1_0373.npy,f55a011a8ef1,training
/mnt/d/Tudor/Master/Disertatie/ToyCar-ToyADMOS-DS/case3/NormalSound_IND/1300011201_ToyCar_case3_normal_IND_ch1_1201.wav,3,normal,IND,ch1,48000,528000,11.0,1,ToyCar,/home/y/projects/ssm-mcu-asd-ind/cache/f55a011a8ef1/1300011201_ToyCar_case3_normal_IND_ch1_1201.npy,f55a011a8ef1,training
