held_out_case,d_state,n_layers,expand,selective,discretization,horizon_k,target,config_name,model_hash
1,32,4,2,True,zoh,2,residual,584eb86deba0.yaml,4f3ffab6e66e
2,32,4,2,True,zoh,2,residual,584eb86deba0.yaml,ec6602b5742c
3,32,4,2,True,zoh,2,residual,584eb86deba0.yaml,554da113910d
4,32,4,2,True,zoh,2,residual,584eb86deba0.yaml,8ffeae10cff6
1,32,4,2,True,zoh,2,absolute,bedbd7c51fd3.yaml,6a38ca29bc52
2,32,4,2,True,zoh,2,absolute,bedbd7c51fd3.yaml,b4bd69f572a6
3,32,4,2,True,zoh,2,absolute,bedbd7c51fd3.yaml,9890f835cabe
4,32,4,2,True,zoh,2,absolute,bedbd7c51fd3.yaml,c3cbc296432d
1,32,4,2,True,zoh,5,residual,c0648d90760a.yaml,6d6a9764c55d
2,32,4,2,True,zoh,5,residual,c0648d90760a.yaml,c369a8db3e58
3,32,4,2,True,zoh,5,residual,c0648d90760a.yaml,7238be21411a
4,32,4,2,True,zoh,5,residual,c0648d90760a.yaml,c131a25635c0
1,32,4,2,True,zoh,5,absolute,2d625706dcad.yaml,297f9186d797
2,32,4,2,True,zoh,5,absolute,2d625706dcad.yaml,4301de30ff64
3,32,4,2,True,zoh,5,absolute,2d625706dcad.yaml,e14aa57b3d42
4,32,4,2,True,zoh,5,absolute,2d625706dcad.yaml,9b902c076761
1,32,4,2,True,euler,2,residual,d816f22117d5.yaml,7f055462360c
2,32,4,2,True,euler,2,residual,d816f22117d5.yaml,2661dee42141
3,32,4,2,True,euler,2,residual,d816f22117d5.yaml,3c926ffadc60
4,32,4,2,True,euler,2,residual,d816f22117d5.yaml,047ed778a03f
1,32,4,2,True,euler,2,absolute,7b3040be1b2f.yaml,5a374f712d9d
2,32,4,2,True,euler,2,absolute,7b3040be1b2f.yaml,c4d7099ee3a8
3,32,4,2,True,euler,2,absolute,7b3040be1b2f.yaml,a3e57a8d74b8
4,32,4,2,True,euler,2,absolute,7b3040be1b2f.yaml,ac4650b812ff
1,32,4,2,True,euler,5,residual,7feecf734ca5.yaml,abb8b0597b7e
2,32,4,2,True,euler,5,residual,7feecf734ca5.yaml,264395379cab
3,32,4,2,True,euler,5,residual,7feecf734ca5.yaml,b1b6f33f9d44
4,32,4,2,True,euler,5,residual,7feecf734ca5.yaml,a14cd1455526
1,32,4,2,True,euler,5,absolute,642a7858cd06.yaml,dc7d87ae837e
2,32,4,2,True,euler,5,absolute,642a7858cd06.yaml,9264c0fcf9a2
3,32,4,2,True,euler,5,absolute,642a7858cd06.yaml,9344e51624cd
4,32,4,2,True,euler,5,absolute,642a7858cd06.yaml,4e8516c618f1
1,32,4,2,False,zoh,2,residual,507a1353607f.yaml,34658236f97d
2,32,4,2,False,zoh,2,residual,507a1353607f.yaml,8138195f07cf
3,32,4,2,False,zoh,2,residual,507a1353607f.yaml,d56e79ae3ec9
4,32,4,2,False,zoh,2,residual,507a1353607f.yaml,aa1a0e3827d3
1,32,4,2,False,zoh,2,absolute,2b327ec64d6a.yaml,139e1668739d
2,32,4,2,False,zoh,2,absolute,2b327ec64d6a.yaml,d8b4e01adf8c
