"board","case","model","setup","status","build_seconds","text_bytes","data_bytes","bss_bytes","flash_bytes","ram_bytes","map_file","note","max_frame_bytes","stack_frames","dynamic_frames"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h16_euclidean_fp32","OK","24.4","118992","468","24068","119460","24536","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","3288","1120","171"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h16_euclidean_int8","OK","30.1","118904","468","24068","119372","24536","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","3288","1120","171"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h16_knn16_fp32","OK","28.8","122872","468","24068","123340","24536","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","3288","1120","171"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h16_knn16_int8","OK","28.7","119888","468","24068","120356","24536","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","3288","1120","171"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h8_euclidean_fp32","OK","28","118944","468","22020","119412","22488","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","3272","1120","171"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h8_euclidean_int8","OK","29.2","118864","468","22020","119332","22488","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","3272","1120","171"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h8_knn16_fp32","OK","29.9","122832","468","22020","123300","22488","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","3272","1120","171"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h8_knn16_int8","OK","29.2","119848","468","22020","120316","22488","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","3272","1120","171"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","w_all_perchannel_euclidean_fp32","OK","28.8","114172","468","30468","114640","30936","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","3600","1120","171"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","w_all_perchannel_knn16_fp32","OK","29","118052","468","30468","118520","30936","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","3600","1120","171"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","w_all_pertensor_actboundaries_euclidean_fp32","OK","28.8","108852","468","30468","109320","30936","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","3616","1120","171"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","w_all_pertensor_actboundaries_knn16_fp32","OK","28.6","112732","468","30468","113200","30936","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","3616","1120","171"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","w_all_pertensor_euclidean_fp32","OK","29.3","108420","468","30468","108888","30936","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","3600","1120","171"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","w_all_pertensor_knn16_fp32","OK","29.4","112300","468","30468","112768","30936","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","3600","1120","171"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","w_proj_perchannel_euclidean_fp32","OK","37.7","121444","468","30468","121912","30936","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","3584","1120","171"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","w_proj_perchannel_knn16_fp32","OK","30.2","125324","468","30468","125792","30936","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","3584","1120","171"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","w_proj_pertensor_euclidean_fp32","OK","30.3","116692","468","30468","117160","30936","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","3584","1120","171"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","w_proj_pertensor_knn16_fp32","OK","30.1","120572","468","30468","121040","30936","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","3584","1120","171"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","true_int8_h16_euclidean_fp32","OK","31.1","91344","468","23684","91812","24152","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2712","1120","171"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","true_int8_h16_euclidean_int8","OK","29.3","91256","468","23684","91724","24152","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2712","1120","171"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","true_int8_h16_knn16_fp32","OK","31.4","95224","468","23684","95692","24152","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2712","1120","171"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","true_int8_h16_knn16_int8","OK","29.6","92240","468","23684","92708","24152","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2712","1120","171"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","true_int8_h8_euclidean_fp32","OK","29.2","91296","468","21636","91764","22104","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2712","1120","171"
"stm32-nucleo-h7s3l8","case1","16662b29beb3","true_int8_h8_euclidean_int8","OK","29","91208","468","21636","91676","22104","nucleo-h7s3l8-ssm-mamba-asd_Appli.map","","2712","1120","171"
