"board","case","model","setup","region","used_bytes","region_bytes","percent_used"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","full_fp32_euclidean_fp32","RAM","12764","465920","2.74"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","full_fp32_euclidean_fp32","RAM_NONCACHEABLEBUFFER","0","1024","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","full_fp32_euclidean_fp32","ITCM","0","65536","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","full_fp32_euclidean_fp32","DTCM","13064","65536","19.93"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","full_fp32_euclidean_fp32","SRAMAHB","0","32768","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","full_fp32_euclidean_fp32","BKPSRAM","0","4096","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","full_fp32_euclidean_fp32","FLASH","285412","134217728","0.21"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","full_fp32_knn16_fp32","RAM","12764","465920","2.74"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","full_fp32_knn16_fp32","RAM_NONCACHEABLEBUFFER","0","1024","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","full_fp32_knn16_fp32","ITCM","0","65536","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","full_fp32_knn16_fp32","DTCM","13064","65536","19.93"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","full_fp32_knn16_fp32","SRAMAHB","0","32768","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","full_fp32_knn16_fp32","BKPSRAM","0","4096","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","full_fp32_knn16_fp32","FLASH","289300","134217728","0.22"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h16_euclidean_fp32","RAM","12764","465920","2.74"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h16_euclidean_fp32","RAM_NONCACHEABLEBUFFER","0","1024","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h16_euclidean_fp32","ITCM","0","65536","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h16_euclidean_fp32","DTCM","6664","65536","10.17"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h16_euclidean_fp32","SRAMAHB","0","32768","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h16_euclidean_fp32","BKPSRAM","0","4096","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h16_euclidean_fp32","FLASH","117524","134217728","0.09"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h16_euclidean_int8","RAM","12764","465920","2.74"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h16_euclidean_int8","RAM_NONCACHEABLEBUFFER","0","1024","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h16_euclidean_int8","ITCM","0","65536","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h16_euclidean_int8","DTCM","6664","65536","10.17"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h16_euclidean_int8","SRAMAHB","0","32768","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h16_euclidean_int8","BKPSRAM","0","4096","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h16_euclidean_int8","FLASH","117444","134217728","0.09"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h16_knn16_fp32","RAM","12764","465920","2.74"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h16_knn16_fp32","RAM_NONCACHEABLEBUFFER","0","1024","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h16_knn16_fp32","ITCM","0","65536","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h16_knn16_fp32","DTCM","6664","65536","10.17"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h16_knn16_fp32","SRAMAHB","0","32768","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h16_knn16_fp32","BKPSRAM","0","4096","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h16_knn16_fp32","FLASH","121420","134217728","0.09"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h16_knn16_int8","RAM","12764","465920","2.74"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h16_knn16_int8","RAM_NONCACHEABLEBUFFER","0","1024","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h16_knn16_int8","ITCM","0","65536","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h16_knn16_int8","DTCM","6664","65536","10.17"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h16_knn16_int8","SRAMAHB","0","32768","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h16_knn16_int8","BKPSRAM","0","4096","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h16_knn16_int8","FLASH","118436","134217728","0.09"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h8_euclidean_fp32","RAM","12764","465920","2.74"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h8_euclidean_fp32","RAM_NONCACHEABLEBUFFER","0","1024","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h8_euclidean_fp32","ITCM","0","65536","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h8_euclidean_fp32","DTCM","4616","65536","7.04"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h8_euclidean_fp32","SRAMAHB","0","32768","0"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h8_euclidean_fp32","BKPSRAM","0","4096","0"
