"board","case","model","setup","status","build_seconds","text_bytes","data_bytes","bss_bytes","flash_bytes","ram_bytes","map_file","note"
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h16_euclidean_fp32","OK","25.2","189440","468","24068","189908","24536","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h16_euclidean_int8","OK","25.8","189360","468","24068","189828","24536","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h16_knn16_fp32","OK","25.5","193328","468","24068","193796","24536","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h16_knn16_int8","OK","25.7","190344","468","24068","190812","24536","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h8_euclidean_fp32","OK","25.8","189400","468","22020","189868","22488","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h8_euclidean_int8","OK","25.5","189312","468","22020","189780","22488","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h8_knn16_fp32","OK","26.1","193280","468","22020","193748","22488","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
"stm32-nucleo-h7s3l8","case1","086acf0275b8","true_int8_h8_knn16_int8","OK","25.6","190296","468","22020","190764","22488","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
"stm32-nucleo-h7s3l8","case1","086acf0275b8","w_all_perchannel_euclidean_fp32","OK","25.9","184620","468","30468","185088","30936","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
"stm32-nucleo-h7s3l8","case1","086acf0275b8","w_all_perchannel_knn16_fp32","OK","26.2","188508","468","30468","188976","30936","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
"stm32-nucleo-h7s3l8","case1","086acf0275b8","w_all_pertensor_actboundaries_euclidean_fp32","OK","25.7","179300","468","30468","179768","30936","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
"stm32-nucleo-h7s3l8","case1","086acf0275b8","w_all_pertensor_actboundaries_knn16_fp32","OK","26.8","183188","468","30468","183656","30936","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
"stm32-nucleo-h7s3l8","case1","086acf0275b8","w_all_pertensor_euclidean_fp32","OK","26.8","178868","468","30468","179336","30936","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
"stm32-nucleo-h7s3l8","case1","086acf0275b8","w_all_pertensor_knn16_fp32","OK","26.4","182756","468","30468","183224","30936","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
"stm32-nucleo-h7s3l8","case1","086acf0275b8","w_proj_perchannel_euclidean_fp32","OK","26","191892","468","30468","192360","30936","nucleo-h7s3l8-ssm-mamba-asd_Appli.map",""
