head,metric,row,coef,lo,hi,flash_saved_kb
euclidean,accuracy,selective: mamba->classic,-0.02626964085297417,-0.034264530664486884,-0.018274751041461458,9.831597222222221
euclidean,accuracy,d_state: 32->16,-0.0015220438652276645,-0.011290564116970016,0.008246476386514687,7.036458333333333
euclidean,accuracy,d_state: 16->8,-0.018579153956318598,-0.028353996164332047,-0.008804311748305147,3.5182291666666665
euclidean,accuracy,n_layers: 4->2,0.0011632158744938129,-0.008605265475198116,0.010931697224185742,45.223958333333336
euclidean,accuracy,n_layers: 2->1,-0.044503538876684345,-0.05427206396610643,-0.03473501378726226,22.611979166666668
euclidean,accuracy,expand: 2->1,-0.008576001949787783,-0.01655713247992862,-0.000594871419646946,35.048611111111114
euclidean,accuracy,discretization: zoh->euler,-0.0029797482767746166,-0.01096084711862967,0.005001350565080437,0.0
knn_clustered_16,accuracy,selective: mamba->classic,-0.005302715379513993,-0.01157379491736318,0.000968364158335195,9.831597222222221
knn_clustered_16,accuracy,d_state: 32->16,-0.0033389053955136284,-0.01101578613429346,0.004337975343266203,7.036458333333333
knn_clustered_16,accuracy,d_state: 16->8,-0.02055728098021832,-0.028245358819804046,-0.012869203140632595,3.5182291666666665
knn_clustered_16,accuracy,n_layers: 4->2,-0.01436458514032879,-0.022054111921394483,-0.006675058359263098,45.223958333333336
knn_clustered_16,accuracy,n_layers: 2->1,-0.0660285943562951,-0.07371814547446462,-0.058339043238125575,22.611979166666668
knn_clustered_16,accuracy,expand: 2->1,-0.017146719770831886,-0.023417772780150628,-0.010875666761513143,35.048611111111114
knn_clustered_16,accuracy,discretization: zoh->euler,-0.007365272500935421,-0.013636349962432296,-0.0010941950394385462,0.0
euclidean,precision,selective: mamba->classic,-0.014898827869394539,-0.020919130070936695,-0.008878525667852381,9.831597222222221
euclidean,precision,d_state: 32->16,-0.0010901123574870676,-0.00844599159583348,0.006265766880859344,7.036458333333333
euclidean,precision,d_state: 16->8,-0.0047212620215118534,-0.012081901811680023,0.0026393777686563157,3.5182291666666665
euclidean,precision,n_layers: 4->2,-0.002080655740718491,-0.00943650568509021,0.005275194203653227,45.223958333333336
euclidean,precision,n_layers: 2->1,0.0006290938300305732,-0.0067267890511795506,0.007984976711240698,22.611979166666668
euclidean,precision,expand: 2->1,-0.0018962596120067963,-0.007906200816225955,0.0041136815922123635,35.048611111111114
euclidean,precision,discretization: zoh->euler,0.006804266015790323,0.0007943486734455808,0.012814183358135065,0.0
knn_clustered_16,precision,selective: mamba->classic,0.0011312812215919107,-0.0007213255364862242,0.0029838879796700458,9.831597222222221
knn_clustered_16,precision,d_state: 32->16,-0.0011151406814118177,-0.003383050225818781,0.0011527688629951456,7.036458333333333
knn_clustered_16,precision,d_state: 16->8,-0.0014225729351288346,-0.003693790334985355,0.000848644464727686,3.5182291666666665
knn_clustered_16,precision,n_layers: 4->2,-0.0017315441700894796,-0.004003189617264112,0.0005401012770851529,45.223958333333336
knn_clustered_16,precision,n_layers: 2->1,-0.005195936572390587,-0.007467589209249669,-0.0029242839355315053,22.611979166666668
knn_clustered_16,precision,expand: 2->1,-0.000629817051243303,-0.002482415972244187,0.0012227818697575809,35.048611111111114
knn_clustered_16,precision,discretization: zoh->euler,-4.1399058663020745e-05,-0.001894005203343685,0.0018112070860176435,0.0
euclidean,recall,selective: mamba->classic,-0.05513468013468004,-0.07176803913039238,-0.038501321138967703,9.831597222222221
euclidean,recall,d_state: 32->16,-0.0017933959892198204,-0.022116791062174974,0.018529999083735333,7.036458333333333
euclidean,recall,d_state: 16->8,-0.03916971215979074,-0.05950626005544783,-0.018833164264133645,3.5182291666666665
euclidean,recall,n_layers: 4->2,0.007013589782553148,-0.013309724354731142,0.027336903919837438,45.223958333333336
euclidean,recall,n_layers: 2->1,-0.09597219494466823,-0.11629560008241047,-0.07564878980692599,22.611979166666668
euclidean,recall,expand: 2->1,-0.018291736397067028,-0.034896469223816805,-0.0016870035703172512,35.048611111111114
euclidean,recall,discretization: zoh->euler,-0.008245539227348511,-0.024850206126656407,0.008359127671959385,0.0
knn_clustered_16,recall,selective: mamba->classic,-0.011853124662639358,-0.02457499264176173,0.0008687433164830168,9.831597222222221
knn_clustered_16,recall,d_state: 32->16,-0.0064105617777063945,-0.021984317884732374,0.009163194329319587,7.036458333333333
knn_clustered_16,recall,d_state: 16->8,-0.041235385553360926,-0.05683185673477589,-0.02563891437194596,3.5182291666666665
knn_clustered_16,recall,n_layers: 4->2,-0.02763215015689116,-0.04323156074325329,-0.012032739570529034,45.223958333333336
