config_name,model_hash,held_out_case,check,unit,metric,value,selective,auc,panel
584eb86deba0.yaml,4f3ffab6e66e,1,zero_state,[0:32],state_contribution,2.953002013169837,True,0.8815713957759413,zero_state
584eb86deba0.yaml,4f3ffab6e66e,1,zero_state,[256:288],state_contribution,3.030004499825796,True,0.8815713957759413,zero_state
584eb86deba0.yaml,4f3ffab6e66e,1,zero_state,[288:320],state_contribution,2.878108875967442,True,0.8815713957759413,zero_state
d816f22117d5.yaml,7f055462360c,1,zero_state,[0:32],state_contribution,2.033605406076993,True,0.8765065426997245,zero_state
d816f22117d5.yaml,7f055462360c,1,zero_state,[256:288],state_contribution,2.132273908328064,True,0.8765065426997245,zero_state
d816f22117d5.yaml,7f055462360c,1,zero_state,[288:320],state_contribution,2.050610036314488,True,0.8765065426997245,zero_state
507a1353607f.yaml,34658236f97d,1,zero_state,[0:32],state_contribution,1.8405272041156269,False,0.9110135445362716,zero_state
507a1353607f.yaml,34658236f97d,1,zero_state,[256:288],state_contribution,2.071790515634164,False,0.9110135445362716,zero_state
507a1353607f.yaml,34658236f97d,1,zero_state,[288:320],state_contribution,1.8874407639708284,False,0.9110135445362716,zero_state
ae0a0e4e978e.yaml,86d08e302712,1,zero_state,[0:32],state_contribution,0.7205856092049875,False,0.7968176078971533,zero_state
ae0a0e4e978e.yaml,86d08e302712,1,zero_state,[256:288],state_contribution,0.7748975252050313,False,0.7968176078971533,zero_state
ae0a0e4e978e.yaml,86d08e302712,1,zero_state,[288:320],state_contribution,0.7423781656433948,False,0.7968176078971533,zero_state
2878ff75bc8a.yaml,a4d5a89d0551,1,zero_state,[0:32],state_contribution,3.3768337534456583,True,0.8250975665748393,zero_state
2878ff75bc8a.yaml,a4d5a89d0551,1,zero_state,[256:288],state_contribution,3.4960486723875617,True,0.8250975665748393,zero_state
2878ff75bc8a.yaml,a4d5a89d0551,1,zero_state,[288:320],state_contribution,3.2809622047677145,True,0.8250975665748393,zero_state
7228c951881d.yaml,b11515cd479d,1,zero_state,[0:32],state_contribution,1.888260229577171,True,0.8836949035812672,zero_state
7228c951881d.yaml,b11515cd479d,1,zero_state,[256:288],state_contribution,1.9286704434622008,True,0.8836949035812672,zero_state
7228c951881d.yaml,b11515cd479d,1,zero_state,[288:320],state_contribution,1.8209586591471176,True,0.8836949035812672,zero_state
20e71b039d4e.yaml,5de494fe6199,1,zero_state,[0:32],state_contribution,1.9743020239095508,False,0.8852731864095501,zero_state
20e71b039d4e.yaml,5de494fe6199,1,zero_state,[256:288],state_contribution,2.205693754088889,False,0.8852731864095501,zero_state
20e71b039d4e.yaml,5de494fe6199,1,zero_state,[288:320],state_contribution,2.03729291867488,False,0.8852731864095501,zero_state
1a19ef1f988b.yaml,02b97863586d,1,zero_state,[0:32],state_contribution,0.6955318579915051,False,0.8406795224977044,zero_state
1a19ef1f988b.yaml,02b97863586d,1,zero_state,[256:288],state_contribution,0.7146948255279921,False,0.8406795224977044,zero_state
1a19ef1f988b.yaml,02b97863586d,1,zero_state,[288:320],state_contribution,0.6881349098220775,False,0.8406795224977044,zero_state
9fd5d4780b48.yaml,0b854e87d2d6,1,zero_state,[0:32],state_contribution,4.363089394427562,True,0.9015438475665748,zero_state
9fd5d4780b48.yaml,0b854e87d2d6,1,zero_state,[256:288],state_contribution,4.460229185302172,True,0.9015438475665748,zero_state
9fd5d4780b48.yaml,0b854e87d2d6,1,zero_state,[288:320],state_contribution,4.321717051143598,True,0.9015438475665748,zero_state
78ca5922c9bf.yaml,95409e0e766e,1,zero_state,[0:32],state_contribution,5.86485528762427,True,0.9343147382920112,zero_state
78ca5922c9bf.yaml,95409e0e766e,1,zero_state,[256:288],state_contribution,6.417416400991272,True,0.9343147382920112,zero_state
78ca5922c9bf.yaml,95409e0e766e,1,zero_state,[288:320],state_contribution,5.949693435060564,True,0.9343147382920112,zero_state
785844bd75bc.yaml,33cc13dd48fe,1,zero_state,[0:32],state_contribution,1.2866126838123035,False,0.8823461891643709,zero_state
785844bd75bc.yaml,33cc13dd48fe,1,zero_state,[256:288],state_contribution,1.365638860582946,False,0.8823461891643709,zero_state
785844bd75bc.yaml,33cc13dd48fe,1,zero_state,[288:320],state_contribution,1.3218466787826064,False,0.8823461891643709,zero_state
1bb643a40705.yaml,7d3528f7bcb4,1,zero_state,[0:32],state_contribution,1.0595419196290377,False,0.8282397842056932,zero_state
1bb643a40705.yaml,7d3528f7bcb4,1,zero_state,[256:288],state_contribution,1.0722065310821098,False,0.8282397842056932,zero_state
1bb643a40705.yaml,7d3528f7bcb4,1,zero_state,[288:320],state_contribution,1.0640758950296316,False,0.8282397842056932,zero_state
19b7bdbfdb1b.yaml,9b2f070215b3,1,zero_state,[0:32],state_contribution,3.2457233302377686,True,0.883149678604224,zero_state
19b7bdbfdb1b.yaml,9b2f070215b3,1,zero_state,[256:288],state_contribution,3.3500078091636984,True,0.883149678604224,zero_state
19b7bdbfdb1b.yaml,9b2f070215b3,1,zero_state,[288:320],state_contribution,3.2279270014632457,True,0.883149678604224,zero_state
615b3e5e8dc9.yaml,3944b0a8c4ce,1,zero_state,[0:32],state_contribution,3.362603790908306,True,0.8910267447199265,zero_state
615b3e5e8dc9.yaml,3944b0a8c4ce,1,zero_state,[256:288],state_contribution,3.369072162133529,True,0.8910267447199265,zero_state
615b3e5e8dc9.yaml,3944b0a8c4ce,1,zero_state,[288:320],state_contribution,3.1881721992513783,True,0.8910267447199265,zero_state
88c8a2386977.yaml,1d0f615af9a7,1,zero_state,[0:32],state_contribution,0.8736231581917692,False,0.8009067952249771,zero_state
88c8a2386977.yaml,1d0f615af9a7,1,zero_state,[256:288],state_contribution,0.9187292142452252,False,0.8009067952249771,zero_state
88c8a2386977.yaml,1d0f615af9a7,1,zero_state,[288:320],state_contribution,0.9035336525641796,False,0.8009067952249771,zero_state
dd85abe752ba.yaml,f517b199970d,1,zero_state,[0:32],state_contribution,1.0714819541224705,False,0.8379677456382001,zero_state
dd85abe752ba.yaml,f517b199970d,1,zero_state,[256:288],state_contribution,1.0991043489942562,False,0.8379677456382001,zero_state
dd85abe752ba.yaml,f517b199970d,1,zero_state,[288:320],state_contribution,1.0863924206214293,False,0.8379677456382001,zero_state
35e13b3d6a57.yaml,8c4aead7227f,1,zero_state,[0:32],state_contribution,6.625713032747703,True,0.9008838383838385,zero_state
35e13b3d6a57.yaml,8c4aead7227f,1,zero_state,[256:288],state_contribution,6.872334699663933,True,0.9008838383838385,zero_state
35e13b3d6a57.yaml,8c4aead7227f,1,zero_state,[288:320],state_contribution,6.548603125479137,True,0.9008838383838385,zero_state
91443246bcf9.yaml,78370c3ccbfb,1,zero_state,[0:32],state_contribution,4.151730041505834,True,0.9026342975206612,zero_state
91443246bcf9.yaml,78370c3ccbfb,1,zero_state,[256:288],state_contribution,4.457032889139365,True,0.9026342975206612,zero_state
91443246bcf9.yaml,78370c3ccbfb,1,zero_state,[288:320],state_contribution,4.143981517358959,True,0.9026342975206612,zero_state
1fd5020aab7f.yaml,4e6f244b9119,1,zero_state,[0:32],state_contribution,2.930262986103653,False,0.8489439853076216,zero_state
