pooling,head,metric,pearson_r,n
mean,euclidean,auc,0.6312890747267755,71
mean,mahalanobis,auc,-0.25899383288326944,71
mean,knn_full,auc,0.43624299795359,71
mean,knn_clustered_16,auc,0.42871808953489154,71
max,euclidean,auc,0.20504432108985374,71
max,mahalanobis,auc,0.3729225670188169,71
max,knn_full,auc,0.2996678741914639,71
max,knn_clustered_16,auc,0.2999717269258925,71
concat_mean_last,euclidean,auc,0.4790966147871324,71
concat_mean_last,mahalanobis,auc,-0.2478771788608016,71
concat_mean_last,knn_full,auc,0.4272324443076106,71
concat_mean_last,knn_clustered_16,auc,0.44276841499801456,71
mean,euclidean,pauc,0.380159112540892,71
mean,mahalanobis,pauc,0.03998296355722489,71
mean,knn_full,pauc,0.531036922305844,71
mean,knn_clustered_16,pauc,0.49630338827576514,71
max,euclidean,pauc,0.2112588567824512,71
max,mahalanobis,pauc,0.4696678962071655,71
max,knn_full,pauc,0.40653382287417705,71
max,knn_clustered_16,pauc,0.390213620987683,71
concat_mean_last,euclidean,pauc,0.1954045319883155,71
concat_mean_last,mahalanobis,pauc,-0.2014530876820478,71
concat_mean_last,knn_full,pauc,0.1090733881326905,71
concat_mean_last,knn_clustered_16,pauc,0.21882885752470682,71
