pooling,head,metric,row,coef,lo,hi,abs_coef,flash_saved_kb,p
mean,euclidean,pauc,selective: mamba->classic,-0.010369595073542293,-0.03962115224863904,0.018881962101554454,0.010369595073542293,9.831597222222221,0.4813989375633522
mean,euclidean,pauc,d_state: 32->16,0.0007104789924767818,-0.035115215637940775,0.03653617362289434,0.0007104789924767818,7.036458333333333,0.9685209489023714
mean,euclidean,pauc,d_state: 16->8,-0.02383660166255873,-0.05966229629297628,0.01198909296785882,0.02383660166255873,3.5182291666666665,0.18850494438633078
mean,euclidean,pauc,n_layers: 4->2,-0.029363108759041676,-0.06518880338945923,0.006462585871375874,0.029363108759041676,45.223958333333336,0.10646345563829103
mean,euclidean,pauc,n_layers: 2->1,-0.045071050416445144,-0.08089674504686269,-0.009245355786027601,0.045071050416445144,22.611979166666668,0.01449010155230011
mean,euclidean,pauc,expand: 2->1,-0.0019336272077500345,-0.031185184382846787,0.027317929967346714,0.0019336272077500345,35.048611111111114,0.8953537280050066
mean,euclidean,pauc,discretization: zoh->euler,-0.0011205724174223608,-0.030372129592519122,0.0281309847576744,0.0011205724174223608,0.0,0.939236755355116
mean,mahalanobis,pauc,selective: mamba->classic,0.012756317830081798,-0.0010980080609852144,0.02661064372114881,0.012756317830081798,9.831597222222221,0.07049515815487974
mean,mahalanobis,pauc,d_state: 32->16,0.0143612409985021,-0.00260677358316992,0.03132925558017412,0.0143612409985021,7.036458333333333,0.09573600202486447
mean,mahalanobis,pauc,d_state: 16->8,-0.018000479274402934,-0.03496849385607495,-0.001032464692730918,0.018000479274402934,3.5182291666666665,0.037951420734425444
mean,mahalanobis,pauc,n_layers: 4->2,-0.0038173299985499766,-0.020785344580221993,0.01315068458312204,0.0038173299985499766,45.223958333333336,0.6546374015295797
mean,mahalanobis,pauc,n_layers: 2->1,-0.012963567090361356,-0.029931581672033372,0.00400444749131066,0.012963567090361356,22.611979166666668,0.13187076933179182
mean,mahalanobis,pauc,expand: 2->1,-0.00046819873374897604,-0.014322524624815992,0.01338612715731804,0.00046819873374897604,35.048611111111114,0.9463845118077352
mean,mahalanobis,pauc,discretization: zoh->euler,-0.006363475262996743,-0.020217801154063762,0.007490850628070277,0.006363475262996743,0.0,0.36228190807569427
mean,knn_full,pauc,selective: mamba->classic,0.0016353393047969789,-0.013401637978681583,0.01667231658827554,0.0016353393047969789,9.831597222222221,0.8286952091965385
mean,knn_full,pauc,d_state: 32->16,-0.004529067589773096,-0.022945528398945283,0.01388739321939909,0.004529067589773096,7.036458333333333,0.6249008419059958
mean,knn_full,pauc,d_state: 16->8,-0.010178917363427128,-0.028595378172599308,0.008237543445745052,0.010178917363427128,3.5182291666666665,0.27365774008167526
mean,knn_full,pauc,n_layers: 4->2,-0.0068555873729318,-0.02527204818210398,0.01156087343624038,0.0068555873729318,45.223958333333336,0.45980287096480865
mean,knn_full,pauc,n_layers: 2->1,-0.053871172852931214,-0.07228763366210339,-0.03545471204375904,0.053871172852931214,22.611979166666668,1.8719020174182644e-07
mean,knn_full,pauc,expand: 2->1,-0.02022148652930155,-0.03525846381278011,-0.005184509245822987,0.02022148652930155,35.048611111111114,0.00918813749499386
mean,knn_full,pauc,discretization: zoh->euler,-0.004133238283955842,-0.01917021556743441,0.010903738999522725,0.004133238283955842,0.0,0.5848345301375418
mean,knn_clustered_16,pauc,selective: mamba->classic,-0.004047653569184462,-0.023705355465447678,0.015610048327078754,0.004047653569184462,9.831597222222221,0.6821930729797959
mean,knn_clustered_16,pauc,d_state: 32->16,-0.0014285095774327523,-0.025504179158225823,0.02264716000336032,0.0014285095774327523,7.036458333333333,0.906016127189321
mean,knn_clustered_16,pauc,d_state: 16->8,-0.019990323892836073,-0.04406599347362914,0.004085345687956994,0.019990323892836073,3.5182291666666665,0.10206178597301763
mean,knn_clustered_16,pauc,n_layers: 4->2,-0.006927327501490041,-0.03100299708228311,0.017148342079303026,0.006927327501490041,45.223958333333336,0.5674352363648549
mean,knn_clustered_16,pauc,n_layers: 2->1,-0.07541838339535706,-0.09949405297615012,-0.051342713814564,0.07541838339535706,22.611979166666668,3.65052496158692e-08
mean,knn_clustered_16,pauc,expand: 2->1,-0.019378225369054716,-0.03903592726531793,0.0002794765272084998,0.019378225369054716,35.048611111111114,0.05324764545317
mean,knn_clustered_16,pauc,discretization: zoh->euler,-0.00957038486942774,-0.029228086765690962,0.010087317026835484,0.00957038486942774,0.0,0.3344148305836733
max,euclidean,pauc,selective: mamba->classic,0.0039633274531601925,-0.02112973133470021,0.029056386241020596,0.0039633274531601925,9.831597222222221,0.7533845685778847
max,euclidean,pauc,d_state: 32->16,0.02269945769497228,-0.008033137362987375,0.05343205275293193,0.02269945769497228,7.036458333333333,0.14496870880877855
max,euclidean,pauc,d_state: 16->8,-0.03687820187521161,-0.06761079693317126,-0.006145606817251965,0.03687820187521161,3.5182291666666665,0.01944992176774151
max,euclidean,pauc,n_layers: 4->2,-0.03782215093518922,-0.06855474599314887,-0.007089555877229568,0.03782215093518922,45.223958333333336,0.01666483086650937
max,euclidean,pauc,n_layers: 2->1,-0.03692288213071704,-0.06765547718867668,-0.006190287072757393,0.03692288213071704,22.611979166666668,0.019309242818758197
max,euclidean,pauc,expand: 2->1,0.026454487055563615,0.0013614282677032082,0.051547545843424025,0.026454487055563615,35.048611111111114,0.03912164472682979
max,euclidean,pauc,discretization: zoh->euler,0.017871682669330147,-0.007221376118530267,0.042964741457190564,0.017871682669330147,0.0,0.15964590206639429
max,mahalanobis,pauc,selective: mamba->classic,-0.015407346323414839,-0.03827868732787222,0.007463994681042543,0.015407346323414839,9.831597222222221,0.1831228673599095
max,mahalanobis,pauc,d_state: 32->16,-0.0001283770721567691,-0.028139934669214085,0.027883180524900547,0.0001283770721567691,7.036458333333333,0.9927234682309044
max,mahalanobis,pauc,d_state: 16->8,-0.011507368340502495,-0.039518925937559804,0.016504189256554815,0.011507368340502495,3.5182291666666665,0.4148732095461438
max,mahalanobis,pauc,n_layers: 4->2,-0.023527615670259155,-0.05153917326731647,0.004483941926798157,0.023527615670259155,45.223958333333336,0.09823546284001795
max,mahalanobis,pauc,n_layers: 2->1,-0.0763818407359077,-0.10439339833296502,-0.04837028313885039,0.0763818407359077,22.611979166666668,8.699181475796781e-07
max,mahalanobis,pauc,expand: 2->1,-0.008700693135501758,-0.03157203413995914,0.014170647868955628,0.008700693135501758,35.048611111111114,0.45006045008907986
max,mahalanobis,pauc,discretization: zoh->euler,-0.005629712193707115,-0.028501053198164508,0.017241628810750278,0.005629712193707115,0.0,0.6245889314443555
max,knn_full,pauc,selective: mamba->classic,-0.0058772366138794,-0.026008482539563477,0.014254009311804677,0.0058772366138794,9.831597222222221,0.5617886843437944
max,knn_full,pauc,d_state: 32->16,0.007865612867108313,-0.016790027335096068,0.032521253069312694,0.007865612867108313,7.036458333333333,0.5261941709845092
max,knn_full,pauc,d_state: 16->8,-0.02386492013435814,-0.04852056033656252,0.0007907200678462338,0.02386492013435814,3.5182291666666665,0.057579883220840955
max,knn_full,pauc,n_layers: 4->2,-0.031756963575145306,-0.05641260377734968,-0.007101323372940928,0.031756963575145306,45.223958333333336,0.012407027981519594
max,knn_full,pauc,n_layers: 2->1,-0.04554491284455402,-0.07020055304675839,-0.020889272642349646,0.04554491284455402,22.611979166666668,0.0004646850515249673
max,knn_full,pauc,expand: 2->1,0.0040136714030254645,-0.016117574522658617,0.024144917328709544,0.0040136714030254645,35.048611111111114,0.6917363477455812
max,knn_full,pauc,discretization: zoh->euler,0.012495787889527987,-0.007635458036156097,0.03262703381521207,0.012495787889527987,0.0,0.21949420965622898
max,knn_clustered_16,pauc,selective: mamba->classic,-0.012046887669893924,-0.03512870105765095,0.0110349257178631,0.012046887669893924,9.831597222222221,0.3010295822521287
max,knn_clustered_16,pauc,d_state: 32->16,0.008542738992798931,-0.01972659357627419,0.03681207156187205,0.008542738992798931,7.036458333333333,0.5481796105063876
max,knn_clustered_16,pauc,d_state: 16->8,-0.031411478219193684,-0.0596808107882668,-0.003142145650120571,0.031411478219193684,3.5182291666666665,0.02998368724393164
max,knn_clustered_16,pauc,n_layers: 4->2,-0.04765117784705106,-0.07592051041612417,-0.019381845277977944,0.04765117784705106,45.223958333333336,0.0012880669377712377
max,knn_clustered_16,pauc,n_layers: 2->1,-0.04120841086301613,-0.06947774343208923,-0.012939078293943022,0.04120841086301613,22.611979166666668,0.0049370547695747466
max,knn_clustered_16,pauc,expand: 2->1,0.0031553070578189987,-0.01992650632993803,0.026237120445576027,0.0031553070578189987,35.048611111111114,0.7856620686379707
max,knn_clustered_16,pauc,discretization: zoh->euler,0.020547463604680516,-0.0025343497830765185,0.04362927699243755,0.020547463604680516,0.0,0.08009089282519158
concat_mean_last,euclidean,pauc,selective: mamba->classic,0.04250287967393246,0.0056083680111861794,0.07939739133667874,0.04250287967393246,9.831597222222221,0.024635007478788728
concat_mean_last,euclidean,pauc,d_state: 32->16,0.02568107812575538,-0.01950528581569027,0.07086744206720103,0.02568107812575538,7.036458333333333,0.2604488321151051
concat_mean_last,euclidean,pauc,d_state: 16->8,-0.036908408245130885,-0.08209477218657651,0.008277955696314752,0.036908408245130885,3.5182291666666665,0.10764277672840132
concat_mean_last,euclidean,pauc,n_layers: 4->2,-0.08876015940908277,-0.13394652335052842,-0.04357379546763713,0.08876015940908277,45.223958333333336,0.0002152329699337985
concat_mean_last,euclidean,pauc,n_layers: 2->1,-0.006036239588871221,-0.05122260353031686,0.039150124352574416,0.006036239588871221,22.611979166666668,0.79042915241672
concat_mean_last,euclidean,pauc,expand: 2->1,0.030586466740772984,-0.006308044921973295,0.06748097840351927,0.030586466740772984,35.048611111111114,0.10258332730129865
concat_mean_last,euclidean,pauc,discretization: zoh->euler,-0.02018121136940909,-0.057075723032155384,0.016713300293337202,0.02018121136940909,0.0,0.2785983753585054
concat_mean_last,mahalanobis,pauc,selective: mamba->classic,0.07338134132392515,0.041277896423675534,0.10548478622417477,0.07338134132392515,9.831597222222221,2.3132632427274078e-05
concat_mean_last,mahalanobis,pauc,d_state: 32->16,0.03300171773556963,-0.00631681176001353,0.0723202472311528,0.03300171773556963,7.036458333333333,0.09846399833258358
concat_mean_last,mahalanobis,pauc,d_state: 16->8,-0.03530872923815523,-0.07462725873373838,0.004009800257427927,0.03530872923815523,3.5182291666666665,0.07753743291374245
concat_mean_last,mahalanobis,pauc,n_layers: 4->2,-0.03103956228956216,-0.07035809178514532,0.008278967206020997,0.03103956228956216,45.223958333333336,0.11970654244642254
