knob,contrast,delta,n_pairs
selective,True vs False,-0.10004878328741962,36
selective,True vs False,-0.037764003673094626,36
selective,True vs False,-0.2154929981634527,36
selective,True vs False,-0.3181961662075299,36
selective,True vs False,0.06806703397612457,36
selective,True vs False,0.006470959595959447,36
selective,True vs False,0.0729310146923784,36
selective,True vs False,-0.0649391643709828,36
selective,True vs False,0.05056244260789711,36
selective,True vs False,-0.019484618916436935,36
selective,True vs False,-0.005882690541781144,36
selective,True vs False,0.06610135445362708,36
selective,True vs False,0.12081037649219462,36
selective,True vs False,-0.0680957300275481,36
selective,True vs False,0.03211088154269981,36
selective,True vs False,0.051939853076216846,36
selective,True vs False,0.0530589990817264,36
selective,True vs False,0.0822428833792469,36
selective,True vs False,0.10607495408631795,36
selective,True vs False,0.019197658402203888,36
selective,True vs False,0.04301538108356284,36
selective,True vs False,-0.06017561983471076,36
selective,True vs False,0.07968893480257122,36
selective,True vs False,-0.029442148760330245,36
selective,True vs False,-0.06590048209366395,36
selective,True vs False,0.20784550045913674,36
selective,True vs False,-0.024807736455463747,36
selective,True vs False,0.04637281910009183,36
selective,True vs False,0.1740845959595958,36
selective,True vs False,-0.03384699265381075,36
selective,True vs False,-0.1084136822773184,36
selective,True vs False,-0.08978994490358116,36
selective,True vs False,0.052341597796143335,36
selective,True vs False,-0.007848370064279186,36
selective,True vs False,-0.008077938475665625,36
selective,True vs False,0.1297061524334252,36
discretization,euler vs zoh,-0.12347910927456396,36
discretization,euler vs zoh,-0.18576388888888895,36
discretization,euler vs zoh,-0.08631772268135907,36
discretization,euler vs zoh,0.016385445362718132,36
discretization,euler vs zoh,-0.06915748393021115,36
discretization,euler vs zoh,-0.007561409550046028,36
discretization,euler vs zoh,-0.07039141414141437,36
discretization,euler vs zoh,0.06747876492194682,36
discretization,euler vs zoh,-0.08897210743801631,36
discretization,euler vs zoh,-0.01892504591368227,36
discretization,euler vs zoh,0.06459481175390269,36
discretization,euler vs zoh,-0.007389233241505533,36
discretization,euler vs zoh,-0.16922061524334242,36
discretization,euler vs zoh,0.01968549127640029,36
discretization,euler vs zoh,0.02157943067033974,36
discretization,euler vs zoh,0.0017504591368227018,36
discretization,euler vs zoh,0.03706095041322299,36
discretization,euler vs zoh,0.007877066115702491,36
discretization,euler vs zoh,-0.05410640495867769,36
discretization,euler vs zoh,0.032770890725436375,36
discretization,euler vs zoh,-0.044593663911845716,36
discretization,euler vs zoh,0.058597337006427885,36
discretization,euler vs zoh,-0.11419593663911831,36
discretization,euler vs zoh,-0.0050648530762168464,36
discretization,euler vs zoh,0.06865530303030287,36
discretization,euler vs zoh,-0.20509067952249782,36
discretization,euler vs zoh,0.12907483930211194,36
discretization,euler vs zoh,0.05789428374655636,36
discretization,euler vs zoh,-0.1328770661157025,36
discretization,euler vs zoh,0.07505452249770406,36
discretization,euler vs zoh,0.015079775022956765,36
discretization,euler vs zoh,-0.003543962350780472,36
discretization,euler vs zoh,-0.13805670339761256,36
discretization,euler vs zoh,-0.07786673553719003,36
discretization,euler vs zoh,0.08852731864095498,36
discretization,euler vs zoh,-0.04925677226813585,36
