pooling,head,metric,row,coef,lo,hi,abs_coef,flash_saved_kb,p
mean,euclidean,auc,selective: mamba->classic,-0.011485196025915745,-0.037512730355381343,0.01454233830354985,0.011485196025915745,9.831597222222221,0.3813243271599574
mean,euclidean,auc,d_state: 32->16,-0.015030752601775096,-0.04690784178675658,0.01684633658320639,0.015030752601775096,7.036458333333333,0.34974827866475183
mean,euclidean,auc,d_state: 16->8,-0.023393858088460576,-0.055270947273442055,0.008483231096520903,0.023393858088460576,3.5182291666666665,0.14752075608730927
mean,euclidean,auc,n_layers: 4->2,-0.0026507977502295554,-0.034527886935211034,0.029226291434751923,0.0026507977502295554,45.223958333333336,0.8685823839552939
mean,euclidean,auc,n_layers: 2->1,-0.16393157426538105,-0.19580866345036252,-0.13205448508039958,0.16393157426538105,22.611979166666668,3.6036109305638865e-15
mean,euclidean,auc,expand: 2->1,-0.010313440592796675,-0.03634097492226227,0.01571409373666892,0.010313440592796675,35.048611111111114,0.4315165250421808
mean,euclidean,auc,discretization: zoh->euler,-0.015570397791041524,-0.04159793212050713,0.010457136538424082,0.015570397791041524,0.0,0.23645872386999828
mean,mahalanobis,auc,selective: mamba->classic,0.012122088945005771,-0.006132081610358633,0.030376259500370175,0.012122088945005771,9.831597222222221,0.18934315235242433
mean,mahalanobis,auc,d_state: 32->16,0.033272473790939866,0.010915772021749967,0.055629175560129765,0.033272473790939866,7.036458333333333,0.00415159507830885
mean,mahalanobis,auc,d_state: 16->8,-0.0158778839531682,-0.03823458572235809,0.0064788178160216925,0.0158778839531682,3.5182291666666665,0.160808676137537
mean,mahalanobis,auc,n_layers: 4->2,0.0010934391261097354,-0.02126326264308016,0.02345014089529963,0.0010934391261097354,45.223958333333336,0.9224706853408129
mean,mahalanobis,auc,n_layers: 2->1,0.02088893193296601,-0.0014677698362238825,0.0432456337021559,0.02088893193296601,22.611979166666668,0.06654356296249396
mean,mahalanobis,auc,expand: 2->1,-0.01424958231302929,-0.0325037528683937,0.004004588242335117,0.01424958231302929,35.048611111111114,0.12381708707445384
mean,mahalanobis,auc,discretization: zoh->euler,-0.015581557366595278,-0.03383572792195969,0.0026726131887691365,0.015581557366595278,0.0,0.09299946643749521
mean,knn_full,auc,selective: mamba->classic,0.0013184241403939034,-0.02958750695381725,0.032224355234605054,0.0013184241403939034,9.831597222222221,0.932351204091093
