held_out_case,pooling,distance_head,threshold_method,threshold,precision,recall,accuracy,f1,auc,pauc,cov_condition_number,config_name,model_hash,d_state,n_layers,expand,selective,discretization,flash_footprint_int8_kb,streaming_peak_ram_int8_kb,streaming_peak_ram_fp32_kb,head_flash_fp32_kb,total_flash_kb,flags_nothing,flags_everything,axis
1,max,euclidean,perentile_same_machie_95.0,2.983415603637696,0.9142857142857144,0.4848484848484848,0.7196969696969697,0.6336633663366337,0.749239554637282,0.6797218597457833,,b8d158135893.yaml,fcfc484ffa45,8,1,1,False,zoh,13.078125,3.0,12.0,0.25,13.328125,False,False,total_flash_kb
1,max,euclidean,perentile_same_machie_95.0,2.916884422302246,0.902439024390244,0.5606060606060606,0.75,0.6915887850467289,0.8398473370064279,0.7159090909090908,,c08b62a11771.yaml,a4cab7f2fe52,16,1,1,False,euler,13.59375,5.5,22.0,0.25,13.84375,False,False,total_flash_kb
1,concat_mean_last,euclidean,perentile_same_machie_95.0,2.1080739498138428,0.9029850746268656,0.4583333333333333,0.7045454545454546,0.6080402010050251,0.8450700183654729,0.6732727997680151,,2e2427afcb6d.yaml,05c01bd0dcff,16,1,1,False,zoh,13.59375,5.5625,22.25,0.5,14.09375,False,False,total_flash_kb
1,mean,euclidean,perentile_same_machie_95.0,2.448241710662842,0.935064935064935,0.5454545454545454,0.7537878787878788,0.6889952153110048,0.9119174701561066,0.72188995215311,,ddca9c6767da.yaml,c24ed91eaf8d,32,1,1,False,zoh,14.625,10.5,42.0,0.25,14.875,False,False,total_flash_kb
1,mean,euclidean,perentile_same_machie_95.0,2.005088806152344,0.9423076923076924,0.7424242424242424,0.8484848484848485,0.8305084745762712,0.9535841368227732,0.802269102508337,,1df2b3ea9ccc.yaml,cef3e32de1b4,16,2,1,False,zoh,27.125,6.6875,26.75,0.25,27.375,False,False,total_flash_kb
1,concat_mean_last,euclidean,perentile_same_machie_95.0,2.086703300476074,0.9414634146341464,0.7310606060606061,0.8428030303030303,0.8230277185501066,0.9550619834710744,0.8045345802522836,,1df2b3ea9ccc.yaml,cef3e32de1b4,16,2,1,False,zoh,27.125,6.75,27.0,0.5,27.625,False,False,total_flash_kb
1,mean,euclidean,perentile_same_machie_95.0,1.74629807472229,0.9409448818897638,0.9053030303030304,0.9242424242424242,0.9227799227799228,0.9618916437098256,0.8657024793388429,,61a995157d85.yaml,50e3ef07f16f,8,4,1,False,zoh,52.125,5.0625,20.25,0.25,52.375,False,False,total_flash_kb
1,mean,euclidean,perentile_same_machie_95.0,1.9098539352416992,0.9473684210526316,0.8181818181818182,0.8863636363636364,0.8780487804878049,0.9697830578512396,0.8527439466434681,,78ca5922c9bf.yaml,95409e0e766e,32,2,2,True,euler,75.9375,25.31640625,101.265625,0.25,76.1875,False,False,total_flash_kb
1,mean,knn_full,perentile_same_machie_95.0,1.6942848770394474,0.9545454545454546,0.7954545454545454,0.8787878787878788,0.8677685950413223,0.9706439393939394,0.8739639215117684,,522ea9b11b24.yaml,1182323d482b,16,2,1,True,zoh,32.0625,6.72265625,26.890625,810.0,842.0625,False,False,total_flash_kb
1,mean,knn_full,perentile_same_machie_95.0,1.19605316288506,0.9411764705882352,0.9696969696969696,0.9545454545454546,0.9552238805970148,0.9824380165289256,0.909093929727901,,352f70960ed3.yaml,b77482e85dc3,8,2,2,False,euler,51.96875,7.25,29.0,810.0,861.96875,False,False,total_flash_kb
