pooling,flash_footprint_fp32_kb,flash_footprint_int8_kb,traced_module_activation_fp32_kb,streaming_peak_ram_fp32_kb,streaming_peak_ram_int8_kb,config_name,model_hash,held_out_case,d_state,n_layers,expand,selective,discretization
mean,607.25,151.8125,430.0,136.265625,34.06640625,584eb86deba0.yaml,4f3ffab6e66e,1,32,4,2,True,zoh
max,607.25,151.8125,430.0,136.265625,34.06640625,584eb86deba0.yaml,4f3ffab6e66e,1,32,4,2,True,zoh
concat_mean_last,607.25,151.8125,430.0,136.515625,34.12890625,584eb86deba0.yaml,4f3ffab6e66e,1,32,4,2,True,zoh
mean,607.25,151.8125,430.0,136.265625,34.06640625,584eb86deba0.yaml,ec6602b5742c,2,32,4,2,True,zoh
max,607.25,151.8125,430.0,136.265625,34.06640625,584eb86deba0.yaml,ec6602b5742c,2,32,4,2,True,zoh
concat_mean_last,607.25,151.8125,430.0,136.515625,34.12890625,584eb86deba0.yaml,ec6602b5742c,2,32,4,2,True,zoh
mean,607.25,151.8125,430.0,136.265625,34.06640625,584eb86deba0.yaml,554da113910d,3,32,4,2,True,zoh
max,607.25,151.8125,430.0,136.265625,34.06640625,584eb86deba0.yaml,554da113910d,3,32,4,2,True,zoh
concat_mean_last,607.25,151.8125,430.0,136.515625,34.12890625,584eb86deba0.yaml,554da113910d,3,32,4,2,True,zoh
mean,607.25,151.8125,430.0,136.265625,34.06640625,584eb86deba0.yaml,8ffeae10cff6,4,32,4,2,True,zoh
max,607.25,151.8125,430.0,136.265625,34.06640625,584eb86deba0.yaml,8ffeae10cff6,4,32,4,2,True,zoh
concat_mean_last,607.25,151.8125,430.0,136.515625,34.12890625,584eb86deba0.yaml,8ffeae10cff6,4,32,4,2,True,zoh
mean,607.25,151.8125,430.0,136.265625,34.06640625,d816f22117d5.yaml,7f055462360c,1,32,4,2,True,euler
max,607.25,151.8125,430.0,136.265625,34.06640625,d816f22117d5.yaml,7f055462360c,1,32,4,2,True,euler
concat_mean_last,607.25,151.8125,430.0,136.515625,34.12890625,d816f22117d5.yaml,7f055462360c,1,32,4,2,True,euler
mean,464.25,116.0625,430.0,136.0,34.0,507a1353607f.yaml,34658236f97d,1,32,4,2,False,zoh
max,464.25,116.0625,430.0,136.0,34.0,507a1353607f.yaml,34658236f97d,1,32,4,2,False,zoh
concat_mean_last,464.25,116.0625,430.0,136.25,34.0625,507a1353607f.yaml,34658236f97d,1,32,4,2,False,zoh
mean,464.25,116.0625,430.0,136.0,34.0,ae0a0e4e978e.yaml,86d08e302712,1,32,4,2,False,euler
max,464.25,116.0625,430.0,136.0,34.0,ae0a0e4e978e.yaml,86d08e302712,1,32,4,2,False,euler
concat_mean_last,464.25,116.0625,430.0,136.25,34.0625,ae0a0e4e978e.yaml,86d08e302712,1,32,4,2,False,euler
mean,304.25,76.0625,258.0,68.515625,17.12890625,2878ff75bc8a.yaml,a4d5a89d0551,1,32,4,1,True,zoh
max,304.25,76.0625,258.0,68.515625,17.12890625,2878ff75bc8a.yaml,a4d5a89d0551,1,32,4,1,True,zoh
concat_mean_last,304.25,76.0625,258.0,68.765625,17.19140625,2878ff75bc8a.yaml,a4d5a89d0551,1,32,4,1,True,zoh
mean,304.25,76.0625,258.0,68.515625,17.12890625,7228c951881d.yaml,b11515cd479d,1,32,4,1,True,euler
max,304.25,76.0625,258.0,68.515625,17.12890625,7228c951881d.yaml,b11515cd479d,1,32,4,1,True,euler
concat_mean_last,304.25,76.0625,258.0,68.765625,17.19140625,7228c951881d.yaml,b11515cd479d,1,32,4,1,True,euler
mean,233.25,58.3125,258.0,68.25,17.0625,20e71b039d4e.yaml,5de494fe6199,1,32,4,1,False,zoh
max,233.25,58.3125,258.0,68.25,17.0625,20e71b039d4e.yaml,5de494fe6199,1,32,4,1,False,zoh
concat_mean_last,233.25,58.3125,258.0,68.5,17.125,20e71b039d4e.yaml,5de494fe6199,1,32,4,1,False,zoh
mean,233.25,58.3125,258.0,68.25,17.0625,1a19ef1f988b.yaml,02b97863586d,1,32,4,1,False,euler
max,233.25,58.3125,258.0,68.25,17.0625,1a19ef1f988b.yaml,02b97863586d,1,32,4,1,False,euler
concat_mean_last,233.25,58.3125,258.0,68.5,17.125,1a19ef1f988b.yaml,02b97863586d,1,32,4,1,False,euler
mean,303.75,75.9375,430.0,101.265625,25.31640625,9fd5d4780b48.yaml,0b854e87d2d6,1,32,2,2,True,zoh
max,303.75,75.9375,430.0,101.265625,25.31640625,9fd5d4780b48.yaml,0b854e87d2d6,1,32,2,2,True,zoh
concat_mean_last,303.75,75.9375,430.0,101.515625,25.37890625,9fd5d4780b48.yaml,0b854e87d2d6,1,32,2,2,True,zoh
mean,303.75,75.9375,430.0,101.265625,25.31640625,78ca5922c9bf.yaml,95409e0e766e,1,32,2,2,True,euler
max,303.75,75.9375,430.0,101.265625,25.31640625,78ca5922c9bf.yaml,95409e0e766e,1,32,2,2,True,euler
concat_mean_last,303.75,75.9375,430.0,101.515625,25.37890625,78ca5922c9bf.yaml,95409e0e766e,1,32,2,2,True,euler
