config_name,model_hash,held_out_case,d_state,n_layers,expand,selective,discretization,status,train_skill,val_skill,best_val_mse,epochs_run,elapsed_s
584eb86deba0.yaml,4f3ffab6e66e,1,32,4,2,True,zoh,,,,,,
584eb86deba0.yaml,ec6602b5742c,2,32,4,2,True,zoh,,,,,,
584eb86deba0.yaml,554da113910d,3,32,4,2,True,zoh,,,,,,
584eb86deba0.yaml,8ffeae10cff6,4,32,4,2,True,zoh,,,,,,
d816f22117d5.yaml,7f055462360c,1,32,4,2,True,euler,ok,0.5447881820962337,0.5378570729847061,0.0322641066920298,47.0,4020.7
507a1353607f.yaml,34658236f97d,1,32,4,2,False,zoh,ok,0.5466522394038749,0.5443383294795561,0.0318116234042323,52.0,4698.9
ae0a0e4e978e.yaml,86d08e302712,1,32,4,2,False,euler,ok,0.545974883777137,0.5395191996356539,0.0321480667648407,62.0,5631.8
2878ff75bc8a.yaml,a4d5a89d0551,1,32,4,1,True,zoh,ok,0.5394464891952871,0.5347187263363267,0.0324832076350083,56.0,4814.7
7228c951881d.yaml,b11515cd479d,1,32,4,1,True,euler,ok,0.5276372168080772,0.5245277481729455,0.0331946819160993,44.0,3811.5
20e71b039d4e.yaml,5de494fe6199,1,32,4,1,False,zoh,ok,0.5418985909624447,0.5396517194904203,0.0321388150063844,70.0,6242.1
1a19ef1f988b.yaml,02b97863586d,1,32,4,1,False,euler,ok,0.5387599924972474,0.5371989754578097,0.0323100511987621,63.0,5568.2
9fd5d4780b48.yaml,0b854e87d2d6,1,32,2,2,True,zoh,ok,0.5323946263814301,0.5273301292524916,0.0329990361172419,44.0,2002.0
78ca5922c9bf.yaml,95409e0e766e,1,32,2,2,True,euler,ok,0.5299443841821676,0.5229973266087982,0.0333015269671495,42.0,1863.7
785844bd75bc.yaml,33cc13dd48fe,1,32,2,2,False,zoh,ok,0.5342883170472852,0.5315862215947875,0.0327019007303393,66.0,2966.8
1bb643a40705.yaml,7d3528f7bcb4,1,32,2,2,False,euler,ok,0.5257445491784524,0.5233947425112397,0.0332737817214085,66.0,2963.3
19b7bdbfdb1b.yaml,9b2f070215b3,1,32,2,1,True,zoh,ok,0.530848553618753,0.5294855650699475,0.0328485562394444,56.0,2469.6
615b3e5e8dc9.yaml,3944b0a8c4ce,1,32,2,1,True,euler,ok,0.5317674170066162,0.5308217691420929,0.0327552703137581,63.0,2754.7
88c8a2386977.yaml,1d0f615af9a7,1,32,2,1,False,zoh,ok,0.5269654857938404,0.5252748770578761,0.033142521762504,67.0,3004.6
dd85abe752ba.yaml,f517b199970d,1,32,2,1,False,euler,ok,0.4925882131118124,0.4732890451462889,0.0367718674242496,59.0,2638.7
35e13b3d6a57.yaml,8c4aead7227f,1,32,1,2,True,zoh,ok,0.5055057728353738,0.506991472609734,0.034418961749627,60.0,1478.4
91443246bcf9.yaml,78370c3ccbfb,1,32,1,2,True,euler,ok,0.5007829659887248,0.5036914427494115,0.0346493504654902,63.0,1477.4
1fd5020aab7f.yaml,4e6f244b9119,1,32,1,2,False,zoh,ok,0.4932245139972745,0.4925949782611697,0.0354240404871793,57.0,1328.3
e383b78a1108.yaml,bf210af21ef5,1,32,1,2,False,euler,ok,0.4899643030784011,0.4871575021264828,0.0358036531565281,58.0,1357.3
f3c8b9679081.yaml,a96b30718cb1,1,32,1,1,True,zoh,ok,0.5061080036407362,0.5068078932783178,0.0344317781810577,74.0,1717.9
cd2caed96f33.yaml,a09d692fb204,1,32,1,1,True,euler,ok,0.5044291244986366,0.5011004724078028,0.0348302368074655,81.0,1858.8
ddca9c6767da.yaml,c24ed91eaf8d,1,32,1,1,False,zoh,ok,0.4874230315223077,0.4878278263036522,0.035756855056836,67.0,1490.9
b73c95fa7731.yaml,a5ba155885e9,1,32,1,1,False,euler,ok,0.4745016159798906,0.4749851704020911,0.0366534539140187,85.0,1914.5
9fc675fd0183.yaml,76529a9ade37,1,16,4,2,True,zoh,ok,0.5447687918817521,0.5410718805785438,0.0320396676946144,41.0,3511.8
66f9b66faef8.yaml,f3b8233e4c4f,1,16,4,2,True,euler,ok,0.5506532824521753,0.5451789945479257,0.0317529331033046,50.0,4318.3
958b5079feae.yaml,3371b4ab52be,1,16,4,2,False,zoh,ok,0.5507356577363377,0.5472781600679109,0.0316063816874073,63.0,5611.9
7bd3273ab33e.yaml,22046ec32b53,1,16,4,2,False,euler,ok,0.5404451882750804,0.535169269420017,0.0324517533612939,47.0,4165.6
