config_name,model_hash,held_out_case,d_state,n_layers,expand,selective,discretization,check,unit,metric,value
584eb86deba0.yaml,4f3ffab6e66e,1,32,4,2,True,zoh,zero_state,[0:32],real_loss,0.0322317890822887
584eb86deba0.yaml,4f3ffab6e66e,1,32,4,2,True,zoh,zero_state,[0:32],zeroed_loss,0.2411909103393554
584eb86deba0.yaml,4f3ffab6e66e,1,32,4,2,True,zoh,zero_state,[0:32],persistence,0.0707615911960601
584eb86deba0.yaml,4f3ffab6e66e,1,32,4,2,True,zoh,zero_state,[0:32],skill_real,0.5445016351740359
584eb86deba0.yaml,4f3ffab6e66e,1,32,4,2,True,zoh,zero_state,[0:32],skill_zeroed,-2.408500377995801
584eb86deba0.yaml,4f3ffab6e66e,1,32,4,2,True,zoh,zero_state,[0:32],state_contribution,2.953002013169837
584eb86deba0.yaml,4f3ffab6e66e,1,32,4,2,True,zoh,zero_state,[256:288],real_loss,0.0318258516490459
584eb86deba0.yaml,4f3ffab6e66e,1,32,4,2,True,zoh,zero_state,[256:288],zeroed_loss,0.2385232001543045
584eb86deba0.yaml,4f3ffab6e66e,1,32,4,2,True,zoh,zero_state,[256:288],persistence,0.0682168453931808
584eb86deba0.yaml,4f3ffab6e66e,1,32,4,2,True,zoh,zero_state,[256:288],skill_real,0.533460518943502
584eb86deba0.yaml,4f3ffab6e66e,1,32,4,2,True,zoh,zero_state,[256:288],skill_zeroed,-2.4965439808822936
584eb86deba0.yaml,4f3ffab6e66e,1,32,4,2,True,zoh,zero_state,[256:288],state_contribution,3.030004499825796
584eb86deba0.yaml,4f3ffab6e66e,1,32,4,2,True,zoh,zero_state,[288:320],real_loss,0.0326246246695518
584eb86deba0.yaml,4f3ffab6e66e,1,32,4,2,True,zoh,zero_state,[288:320],zeroed_loss,0.2384953647851944
584eb86deba0.yaml,4f3ffab6e66e,1,32,4,2,True,zoh,zero_state,[288:320],persistence,0.0715298652648925
