clip_name,role,frame_index,phase,feature_delta_t_s,feature_energy_mj,backbone_delta_t_s,backbone_energy_mj,total_delta_t_s,total_energy_mj
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,0,hop,0.0005499999970197,0.18230603330217296,0.0042200000025331,1.2743593295376539,0.004800000009709,1.4655988459319944
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,1,hop,0.000529999990249,0.1775805070856807,0.0041999999957624,1.2717449798741862,0.0047599999961676,1.457837373996989
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,2,hop,0.0005200000014156,0.17453328296661133,0.0042099999991478,1.2759515204438698,0.0047599999961676,1.4593683117474536
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,3,hop,0.000529999990249,0.17884434910582914,0.0041999999957624,1.2704515681150474,0.0047599999961676,1.4581549490850096
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,4,hop,0.0005200000014156,0.17535848116653643,0.0042000000103143,1.273478108502103,0.0047600000107195,1.4606898561400044
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,5,hop,0.0005300000048009,0.17934701418408722,0.0042000000103143,1.2748654434043165,0.0047600000107195,1.4629223199418162
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,6,hop,0.0005200000014156,0.17470034150294197,0.0042099999991478,1.2797383310573018,0.0047599999961676,1.4633717386867457
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,7,hop,0.0005300000048009,0.1807370026938446,0.0041999999957624,1.2791298906059665,0.0047599999961676,1.4683539570899984
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,8,hop,0.0005200000014156,0.17781784578494853,0.0041999999957624,1.278162333878847,0.0047599999961676,1.4678331340970971
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,9,hop,0.0005200000014156,0.1776694162513936,0.0041999999957624,1.278953659226209,0.0047599999961676,1.46847597253649
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,10,hop,0.0005200000014156,0.17450620906633024,0.0041999999957624,1.2749594840475966,0.0047499999927822,1.458497971635604
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,11,hop,0.0005200000014156,0.17480420487760528,0.0042099999991478,1.2807035210623405,0.0047600000107195,1.464341899699936
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,12,hop,0.000529999990249,0.1806346296974924,0.0041999999957624,1.2734781327773848,0.0047599999961676,1.4626741679131037
