clip_name,role,frame_index,phase,feature_delta_t_s,feature_energy_mj,backbone_delta_t_s,backbone_energy_mj,total_delta_t_s,total_energy_mj
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,0,hop,0.0005499999970197,0.18149430391354016,0.0033199999888893,1.0324420281234066,0.0038999999960651,1.2227702800063398
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,1,hop,0.0005199999868636,0.1757335950271242,0.0033000000112224,1.027800468937369,0.0038599999970756,1.2152389371009282
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,2,hop,0.0005200000014156,0.17366537971259535,0.0033100000000558,1.0310641446957367,0.0038599999970756,1.2135389506409244
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,3,hop,0.0005200000014156,0.17707502037380735,0.0033000000112224,1.030105193169234,0.0038600000116275,1.2188848353264272
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,4,hop,0.000529999990249,0.17954060021487972,0.0032999999966705,1.0291365274290263,0.0038599999970756,1.2172880155584849
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,5,hop,0.0005300000048009,0.18026243124854852,0.0033000000112224,1.0314459501993976,0.0038600000116275,1.2204679450283145
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,6,hop,0.0005200000014156,0.17555859495730497,0.0033100000000558,1.0373393983645094,0.0038599999970756,1.2218805168079436
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,7,hop,0.0005200000014156,0.17425892572151544,0.0033100000000558,1.0354259763069555,0.0038599999970756,1.2183454325498972
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,8,hop,0.0005200000014156,0.17761970426323648,0.0032999999966705,1.0311663134837723,0.0038599999970756,1.2205149270979967
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,9,hop,0.0005200000014156,0.17565088649152227,0.0033100000000558,1.0377603527247705,0.0038600000116275,1.2223939609510663
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,10,hop,0.0005200000014156,0.1753616654845767,0.0033100000000558,1.0380034727882468,0.0038599999970756,1.222298344224949
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,11,hop,0.0005300000048009,0.1804848783233847,0.0032999999966705,1.0355330327318149,0.0038599999970756,1.2247526060368799
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,12,hop,0.0005200000014156,0.17737371185816775,0.0032999999966705,1.0383876081858219,0.0038599999970756,1.2278373921324248
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,13,hop,0.0005200000014156,0.1748338427276599,0.0033100000000558,1.0419984978396202,0.0038599999970756,1.225839736183062
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,14,hop,0.0005200000014156,0.1746232902546669,0.0033100000000558,1.0409802609186787,0.0038599999970756,1.2242145310686856
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,15,hop,0.0005200000014156,0.17495908910989053,0.0033100000000558,1.0399912279485202,0.0038599999970756,1.223933098732521
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,16,hop,0.0005200000014156,0.17787320922043848,0.0033100000000558,1.038036492183158,0.0038599999970756,1.2249171759026314
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,17,hop,0.0005200000014156,0.1748815143138295,0.0033100000000558,1.0399162135164919,0.0038599999970756,1.2238055250732474
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,18,hop,0.0005200000014156,0.17831600559020458,0.0032999999966705,1.0357308479319087,0.0038599999970756,1.2258504868423543
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,19,hop,0.0005300000048009,0.18021021985727442,0.0033100000000558,1.0411278656847744,0.003870000000461,1.2300233374960485
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,20,hop,0.0005200000014156,0.17470180098204383,0.0033100000000558,1.039744651035289,0.0038599999970756,1.223156407646359
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,21,hop,0.0005200000014156,0.17505492355652205,0.0032999999966705,1.0370675994570189,0.0038499999936902,1.2209069228981746
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,22,hop,0.0005200000014156,0.17801839706085318,0.0033000000112224,1.0389772931267347,0.0038600000116275,1.2288242279649417
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,23,hop,0.0005200000014156,0.17510254135353562,0.0033100000000558,1.0375558891847998,0.0038599999970756,1.2213933336032194
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,24,hop,0.0005300000048009,0.18028473942974188,0.0033000000112224,1.0382842944534805,0.0038600000116275,1.2273037217440228
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,25,hop,0.0005200000014156,0.1786630428181576,0.0032999999966705,1.0375674231383047,0.0038599999970756,1.2280587132187477
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,26,hop,0.0005200000014156,0.17811760588054323,0.0032999999966705,1.037073150497906,0.0038599999970756,1.2271429554986182
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,27,hop,0.0005300000048009,0.17889906839627379,0.0032999999966705,1.0393537305354514,0.0038599999970756,1.2267399452261416
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,28,hop,0.0005200000014156,0.175919818203741,0.0033000000112224,1.0374701122721692,0.0038500000082422,1.2220751287533775
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,29,hop,0.0005200000014156,0.17551395349359486,0.0033100000000558,1.0404412750953091,0.0038599999970756,1.2250122286131975
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,30,hop,0.000529999990249,0.1799401249430058,0.0033000000112224,1.0359591733485627,0.0038599999970756,1.2245844107569692
