"translation_unit","source_file","source_line","function","frame_bytes","qualifier"
"Core\Src\main.su","../Core/Src/main.c","80","main","2712","static,ignoring_inline_asm"
"Core\Src\ssm_backbone.su","../Core/Src/ssm_backbone.c","162","SSMBackbone_ProcessFrame","1904","static"
"Middlewares\CMSIS-DSP\Source\MatrixFunctions\arm_mat_mult_fast_q15.su","../Middlewares/CMSIS-DSP/Source/MatrixFunctions/arm_mat_mult_fast_q15.c","67","arm_mat_mult_fast_q15","168","static,ignoring_inline_asm"
"Middlewares\CMSIS-DSP\Source\TransformFunctions\arm_cfft_radix8_f32.su","../Middlewares/CMSIS-DSP/Source/TransformFunctions/arm_cfft_radix8_f32.c","51","arm_radix8_butterfly_f32","160","static"
"Drivers\STM32H7RSxx_HAL_Driver\stm32h7rsxx_hal_dma_ex.su","D:/Tudor/Master/Disertatie/ssm-mcu-asd-deploy/nucleo-h7s3l8-ssm-mamba-asd/Drivers/STM32H7RSxx_HAL_Driver/Src/stm32h7rsxx_hal_dma_ex.c","2902","HAL_DMAEx_List_ConvertQToDynamic","160","static"
"Middlewares\CMSIS-DSP\Source\MatrixFunctions\arm_mat_qr_f64.su","../Middlewares/CMSIS-DSP/Source/MatrixFunctions/arm_mat_qr_f64.c","72","arm_mat_qr_f64","152","static"
"Drivers\STM32H7RSxx_HAL_Driver\stm32h7rsxx_hal_dma_ex.su","D:/Tudor/Master/Disertatie/ssm-mcu-asd-deploy/nucleo-h7s3l8-ssm-mamba-asd/Drivers/STM32H7RSxx_HAL_Driver/Src/stm32h7rsxx_hal_dma_ex.c","3004","HAL_DMAEx_List_ConvertQToStatic","144","static"
"Middlewares\CMSIS-DSP\Source\TransformFunctions\arm_cfft_f64.su","../Middlewares/CMSIS-DSP/Source/TransformFunctions/arm_cfft_f64.c","56","arm_radix4_butterfly_f64","144","static"
"Middlewares\CMSIS-DSP\Source\MatrixFunctions\arm_mat_qr_f32.su","../Middlewares/CMSIS-DSP/Source/MatrixFunctions/arm_mat_qr_f32.c","614","arm_mat_qr_f32","144","static"
"Middlewares\CMSIS-DSP\Source\MatrixFunctions\arm_mat_vec_mult_q15.su","../Middlewares/CMSIS-DSP/Source/MatrixFunctions/arm_mat_vec_mult_q15.c","269","arm_mat_vec_mult_q15","136","static,ignoring_inline_asm"
"Middlewares\CMSIS-DSP\Source\TransformFunctions\arm_cfft_f32.su","../Middlewares/CMSIS-DSP/Source/TransformFunctions/arm_cfft_f32.c","1131","arm_cfft_f32","128","static"
"Middlewares\CMSIS-DSP\Source\FilteringFunctions\arm_conv_partial_q15.su","../Middlewares/CMSIS-DSP/Source/FilteringFunctions/arm_conv_partial_q15.c","59","arm_conv_partial_q15","128","static,ignoring_inline_asm"
"Middlewares\CMSIS-DSP\Source\FilteringFunctions\arm_biquad_cascade_df1_32x64_q31.su","../Middlewares/CMSIS-DSP/Source/FilteringFunctions/arm_biquad_cascade_df1_32x64_q31.c","522","arm_biquad_cas_df1_32x64_q31","128","static"
"Middlewares\CMSIS-DSP\Source\FilteringFunctions\arm_correlate_fast_q31.su","../Middlewares/CMSIS-DSP/Source/FilteringFunctions/arm_correlate_fast_q31.c","64","arm_correlate_fast_q31","128","static"
"Middlewares\CMSIS-DSP\Source\MatrixFunctions\arm_mat_mult_fast_q31.su","../Middlewares/CMSIS-DSP/Source/MatrixFunctions/arm_mat_mult_fast_q31.c","66","arm_mat_mult_fast_q31","120","static,ignoring_inline_asm"
"Middlewares\CMSIS-DSP\Source\TransformFunctions\arm_cfft_radix4_q31.su","../Middlewares/CMSIS-DSP/Source/TransformFunctions/arm_cfft_radix4_q31.c","524","arm_radix4_butterfly_inverse_q31","120","static"
"Middlewares\CMSIS-DSP\Source\TransformFunctions\arm_cfft_radix4_q31.su","../Middlewares/CMSIS-DSP/Source/TransformFunctions/arm_cfft_radix4_q31.c","153","arm_radix4_butterfly_q31","120","static"
"Middlewares\CMSIS-DSP\Source\MatrixFunctions\arm_mat_vec_mult_q7.su","../Middlewares/CMSIS-DSP/Source/MatrixFunctions/arm_mat_vec_mult_q7.c","279","arm_mat_vec_mult_q7","112","static,ignoring_inline_asm"
"Middlewares\CMSIS-DSP\Source\FilteringFunctions\arm_conv_partial_fast_q15.su","../Middlewares/CMSIS-DSP/Source/FilteringFunctions/arm_conv_partial_fast_q15.c","56","arm_conv_partial_fast_q15","112","static,ignoring_inline_asm"
"Middlewares\CMSIS-DSP\Source\FilteringFunctions\arm_conv_fast_q31.su","../Middlewares/CMSIS-DSP/Source/FilteringFunctions/arm_conv_fast_q31.c","62","arm_conv_fast_q31","112","static"
"Middlewares\CMSIS-DSP\Source\FilteringFunctions\arm_correlate_q15.su","../Middlewares/CMSIS-DSP/Source/FilteringFunctions/arm_correlate_q15.c","267","arm_correlate_q15","112","static,ignoring_inline_asm"
"Middlewares\CMSIS-DSP\Source\BayesFunctions\arm_gaussian_naive_bayes_predict_f32.su","../Middlewares/CMSIS-DSP/Source/BayesFunctions/arm_gaussian_naive_bayes_predict_f32.c","335","arm_gaussian_naive_bayes_predict_f32","112","static"
"Middlewares\CMSIS-DSP\Source\MatrixFunctions\arm_mat_inverse_f64.su","../Middlewares/CMSIS-DSP/Source/MatrixFunctions/arm_mat_inverse_f64.c","52","arm_mat_inverse_f64","104","static"
